ABERNETHY AYTON HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO167153,Long,-3.348473,Lat,56.322739,Elevation,120,ft,,,,,,,,,,,,
Station no,5538,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.28,0.94,7.17,2.71,0.76,4.17,0.78,3.1,,4.35,0.69,1.5,5.2,2.5,4.25,4.64,1.54,1.54,
February,,2.24,1.38,6.02,4.12,1,1.82,2.16,1.88,,6.48,2.84,4.61,1.5,3.8,4.45,4.84,2.6,2.6,
March,,3.59,1.28,5.96,2.13,3.53,1.68,2.17,4.25,,2,1,3.03,4.1,4.05,4.55,4.04,1.7,1.7,
April,,3.43,1.63,0.3,3.16,1.56,0.58,1.77,1.2,,4.34,1.1,0.02,2.12,0.7,2.4,1.86,1.4,1.4,
May,,2.9,1.51,1.94,1.28,1.68,6.07,4.26,1.72,,1.54,0.98,1.15,3.3,1.5,0.7,3.9,2.52,2.52,
June,,1.95,1.67,2.38,1.95,0.52,1.14,3.41,1.15,,1.5,1.8,3.85,1.8,0.65,1.45,2.3,1.96,1.96,
July,,0.8,2.63,4.27,1.64,1.4,0.95,1.76,2.38,,2.8,1.3,2.35,0.2,3.2,2.7,6.5,0.53,4.53,
August,,2.68,2.19,4.64,5,2.98,4.23,3.5,2.86,,8.8,1.32,5.04,0.46,2.21,5.43,2.15,4,5,
September,,2.97,1.69,2.25,3.25,1.74,1.2,0.6,4.15,,1.2,1.15,2.53,2.02,2.09,2.7,2.05,0.76,4.76,
October,,2.84,1.85,6.52,1,2.5,3.86,6.12,2.4,,1.92,2.26,3.51,2.3,1.12,2.65,5.94,2.85,2.85,
November,,2.55,2.46,1.9,0.33,5.9,3.75,2.35,2.6,,4,5,2.5,2,3.6,1.3,6.05,2.43,2.43,
December,,4.39,5.99,3.35,2.95,2.69,1.84,4.7,1.96,,2.56,5.65,3.1,1.8,7.15,8.23,3.95,1.7,1.7,
Total,,32.62,25.22,46.7,29.52,26.26,31.29,33.58,29.65,,41.49,25.09,33.19,26.8,32.57,40.81,48.22,23.99,32.99,
