"ABERNETHY, GLEN FARG HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 164 151,Long,-3.352475,Lat,56.321411,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.54,4.22,,4,3.43,3.96,1.12,5.07,3.7,5.95,4.2,2.12,3.38,3.19,5.06,2.61,3.35,,,,,
February,,,,,,,,,,2.01,1.74,,0.25,3.39,0.16,2.52,4.13,4.18,1.06,3.18,2.05,4.83,2.14,1.56,0.84,3.23,,,,,
March,,,,,,,,,,0.38,2.57,,2.38,1.87,4.24,1.26,2.72,3.59,0.96,2.91,2.87,2.35,2.21,1.11,0.16,1.67,,,,,
April,,,,,,,,,,1.22,2.03,,3.51,1.3,4.66,4.04,0.97,1.79,0.07,2.19,2.07,1.85,1.89,1.79,2.32,1.53,,,,,
May,,,,,,,,,,2.93,1.52,,3.44,1.88,1.96,0.71,0.49,2.3,3.83,1.76,1.1,4.08,3.72,3.52,1.71,4.48,,,,,
June,,,,,,,,,,2.02,2.15,,1.32,1.5,2.23,2.98,1.7,1.36,2.83,2.07,1.19,1.28,1.15,2.18,2.6,3.46,,,,,
July,,,,,,,,,,3.17,2.97,,3.08,3.05,3.22,1.47,4.69,3.17,3.54,4.27,5.48,1.94,3.74,2,2.72,3.25,,,,,
August,,,,,,,,,,3.85,5.6,,0.58,1,4.24,2.41,1.49,4.2,1.44,1.52,1.05,3.4,2.74,4.87,1.95,2.93,,,,,
September,,,,,,,,,,0.59,6.06,,1.84,1.83,3,4.98,3.66,1.3,3.07,2.09,2.48,1.06,3.09,2.95,3.67,3.45,,,,,
October,,,,,,,,,,3.93,4.09,,6.82,4.07,3.9,5.67,2.07,4.03,5.39,6.64,4.08,3.22,2.02,4.97,4.3,4.34,,,,,
November,,,,,,,,,,5.12,3.89,,1.83,2.71,0.82,4.96,2.79,0.47,4.6,6.1,5.79,3.52,0.68,1.52,5.7,1.11,,,,,
December,,,,,,,,,,5.2,4.09,,7.39,1.47,5.28,2.98,3.85,3.52,2.36,1.99,2.85,2.43,3.19,2.18,4.19,3.83,,,,,
Total,,,,,,,,,,31.96,40.93,,36.44,27.5,37.67,35.1,33.63,33.61,35.1,38.92,33.13,33.34,29.76,33.71,32.77,36.63,,,,,
