CHISLEHURST-SCADBURY-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ459700,Long,0.096455,Lat,51.410259,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.21,1.78,2.09,2.09,2.94,0.91,2.42,1.36,1.88,1.28,1.49,1.13,4.16,4.06,2.44,3.78,2.02,2.64,2.21,4.32,1.44,1.68,1.44,1.84,2.52,0.94,1.12,2.46,1.84,0.81,1.27,2.28,3.69,1.28,2.22,2.75,1.69
February,,,,,0.77,3.55,2.56,3.79,1.23,0.39,1.15,1.39,0.28,1.29,0.15,2.62,1.48,4.24,0.62,1.27,1.46,1.51,0.68,1.33,0.91,0.87,2.27,1.41,1.61,0.96,3.79,6.27,1.05,1.37,2.09,1.9,0.36,2.88,2.23,0.14,1.83
March,,,,2.13,0.69,0.87,0.23,2.02,1.97,0.02,1.68,0.17,1.4,2.21,1.92,0.57,0.95,3.17,0.54,1.34,3.57,2.78,2.21,0.31,0.1,1.28,1.19,4.5,0.81,0.72,0.91,3.11,2.25,0.25,1.71,1.11,1.08,0.9,1.37,1.88,1.73
April,,,,1.7,3.82,2.09,4.92,1.69,1.5,1.28,1.41,3.56,1.9,0.52,1.78,2.52,1.57,2.22,0.38,2.46,1.67,1.58,1.06,1.09,1.17,1.18,2.66,1.68,1.38,1.53,3,2.81,1.11,2.45,0.5,0.28,1.55,0.55,1.57,2.17,0.25
May,,,,2.47,3.64,1.65,1.39,1.1,2.41,1.23,4.38,3.29,3.25,2.08,0.68,1.51,0.53,3.1,1.47,2.09,1.39,1.7,3.21,2.37,0.39,2.23,4.15,1.28,2.8,1.4,1.39,1.94,1.26,1.88,2.15,3.9,0.51,1.33,1.66,1.25,1.73
June,,,,0.65,2.92,0.21,3.05,3.03,2.35,1.2,0.69,1.85,0.86,1.33,1.41,3.59,3.41,2.4,0.41,1.13,0.81,2.22,0.98,1.51,2.28,1.5,1.77,2.63,2.84,0.75,1.73,1.47,1.25,1.15,3.38,2.04,3.23,0.8,5.02,0.93,1.4
July,,,,2.3,4,4.17,1.96,2.84,2.05,1.81,1.91,3.16,2.22,2.2,1.81,0.51,2.65,0.76,0.89,2.85,3.7,2.06,2.1,1.91,1.11,3.15,1.57,1.71,1.11,1.25,2.62,1.95,0.82,3.34,1.98,0.07,4.09,3.47,2.1,1.68,3.58
August,,,,2.16,3.07,1.97,2.43,3.46,2.55,1.95,3.35,3.52,0.93,0.55,1.24,2.26,0.55,1.49,1.62,2.89,0.09,3.86,2.95,1.11,3.4,1.43,4.32,0.27,4.02,1.08,1.3,2.97,2.64,1.35,2.78,0.94,2.73,3.28,4.29,0.96,2.99
September,,,,1.44,3.66,3.1,1.09,3.9,0.68,0.18,3.72,1.44,1.62,2.27,0.97,3.01,2.81,1.38,1.91,1.44,1.56,0.62,2.13,1.65,2.81,1.2,2.69,1.55,1.26,0.59,2.8,2.72,3.26,2.56,1.86,2.14,2.65,2.93,5.21,0.08,4.35
October,,,,5.53,3.17,3.18,2.78,1.32,4.16,3,1.38,0.66,5.59,1.53,2.24,2.92,2.35,2.47,2.57,7,2.78,0.74,3.8,2.85,3.34,2.27,1.27,0.24,1.97,5.67,0.37,1,2.65,3.95,1.45,3.79,1.14,1.54,3.1,1.68,4.21
November,,,,1.67,3.45,2.18,5.61,2.23,2.28,5.14,4.33,2.87,0.81,0.84,2.62,4.38,3.28,1.71,2.48,4.21,6.89,2.81,1.97,1.21,3.93,0.34,3.18,1.02,1.6,2.64,5.27,4.29,3.97,0.9,5.05,0.72,0.59,3.05,1.74,2.69,3.69
December,,,,2.31,3.03,3.23,0.72,3.31,2.01,4.99,1.67,0.56,0.53,0.43,4.5,2.44,2.27,4.12,2.2,1.1,1.15,1.51,2.11,1.6,1.64,2.43,2.15,2.52,2.89,1.31,1.53,2.31,2.28,0.86,1.57,2,2.73,2.27,2.61,4.63,2.74
Total,,,,,34.43,27.98,28.83,30.78,26.13,22.1,28.09,23.83,21.27,16.53,20.81,27.46,26.01,31.12,17.53,31.56,27.09,24.03,25.41,21.26,22.52,19.56,28.66,20.65,24.81,18.84,25.83,33.3,24.38,20.87,25.79,21.17,24.35,24.28,33.12,20.84,30.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
