"MILNGAVIE (DOUGALSTON)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5336,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,4.05,8.58,3.59,5.13,2.26,5.26,4.19,7.64,4.85,3.30,,
February,5.80,0.04,4.04,0.70,4.87,2.14,5.49,2.16,5.49,1.69,,
March,1.52,2.45,2.42,2.42,2.02,3.15,1.43,3.47,3.86,4.40,,
April,2.09,3.98,2.26,3.58,2.73,1.20,1.97,0.65,2.92,2.44,,
May,4.60,3.81,2.30,2.58,0.42,1.42,1.93,4.28,1.83,1.41,,
June,5.57,1.24,1.47,2.23,5.67,2.33,4.21,5.95,2.86,0.63,,
July,6.05,2.91,4.20,3.08,2.16,4.91,4.08,4.66,6.48,3.44,,
August,2.20,2.53,3.51,4.81,2.97,3.97,4.48,3.35,1.95,1.99,,
September,1.31,4.28,0.89,5.61,6.50,3.80,3.40,4.85,2.86,3.66,,
October,3.72,6.97,2.62,7.54,10.77,6.04,4.23,9.07,3.03,5.26,,
November,7.43,4.04,2.33,1.90,4.75,3.85,0.82,8.78,8.89,4.28,,
December,4.16,6.94,1.27,5.60,3.09,6.33,2.94,3.62,1.56,3.42,,
Total,48.50,47.77,30.90,45.18,48.21,44.40,39.17,58.48,46.58,35.92,,
Calc annual,48.50,47.77,30.90,45.18,48.21,44.40,39.17,58.48,46.58,35.92,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
