TEMPLECOMBE (CHERITON HOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2120,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.94,3.21,4.44,1.61,4.35,3.39,4.12,3.88,5.02,1.52,4.89,
February,0.87,0.22,2.92,6.58,0.79,4.95,2.80,4.50,2.34,1.39,0.89,
March,2.52,2.18,3.26,1.90,1.60,0.91,1.02,4.48,2.62,0.30,1.83,
April,5.28,1.24,3.57,2.85,3.03,2.82,3.86,1.55,1.46,0.56,2.81,
May,2.30,2.34,0.58,1.86,4.98,3.98,2.37,1.58,1.82,2.27,2.21,
June,2.71,0.39,0.83,0.48,2.24,0.14,2.56,2.45,2.99,1.87,0.51,
July,5.91,0.60,3.73,1.17,4.84,3.74,1.78,3.38,2.32,1.99,2.53,
August,1.93,1.69,4.25,2.01,3.87,3.70,1.40,4.04,2.18,2.04,4.01,
September,2.04,1.69,2.59,3.91,4.57,3.58,1.11,6.45,1.64,0.64,4.14,
October,2.96,1.13,1.12,5.84,5.69,4.75,3.32,2.75,5.97,5.50,3.04,
November,1.75,2.24,2.00,2.27,3.64,2.57,8.86,3.70,3.41,8.33,4.56,
December,2.67,2.08,3.95,3.20,5.10,3.41,0.48,3.65,3.10,7.16,4.01,
Total,35.88,19.01,33.24,33.68,44.70,37.94,33.68,42.41,34.87,33.57,35.43,
Calc annual,35.88,19.01,33.24,33.68,44.70,37.94,33.68,42.41,34.87,33.57,35.43,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,
