"BROUGHSHANE, TULLYMORE SCHOOL",,,,,,,,,,,,,,,,,,,,,
Grid ref,ID148064,Long,-6.209944,Lat,54.89249,Elevation,218,ft,,,,,,,,,,,,,
Station no,6236,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,5.15,4.09,7.57,1.68,4.44,4.56,4.47,2.3,3.52,2.08,4.99,5.49,5.04,5.13,
February,,,,,,,3.21,1.81,3.44,2.66,0.98,4.2,0.15,2.97,0.36,4.65,2.16,5.26,1.67,3.96,
March,,,,,,,2.24,2.64,3.74,0.44,2.17,1.66,2.02,2.14,2.79,1.02,2.91,3.69,3.21,5.65,
April,,,,,,,1.8,2.02,1.57,1.04,2.07,2.51,3.4,1.41,3.41,3.44,1.14,2.76,0.47,2.07,
May,,,,,,,3.2,2.22,1.36,3.35,1.64,3.8,1.68,2.16,3.46,1.23,1.78,1.71,3.86,1.02,
June,,,,,,,2.44,4.45,6.44,3.11,2.18,4.45,2.13,2.96,2.24,3.56,2.27,2.69,4.85,2.42,
July,,,,,,,4.31,3.3,3.24,2.73,3.39,4.19,6.05,2.6,2.07,1.83,7.11,4.86,3.49,5.02,
August,,,,,,,4.98,2.81,4.78,6.08,8.02,2.67,1.59,2.68,4.55,2.14,2.84,4.26,2.78,2.65,
September,,,,,,,3.62,6,3.05,1.23,2.81,2.19,4.56,0.6,5.51,4.36,4.64,2.04,3.43,3.47,
October,,,,,,,4.95,3.86,5.4,6.56,8.35,2.98,4.75,3.84,5.16,6.01,3.61,2.81,7.16,2.6,
November,,,,,,,4.89,4.5,5.66,4.95,4.27,6.25,3.3,2.31,1.4,4.46,4.63,1.08,5.96,5.16,
December,,,,,,,2,1.65,4.27,7.33,3.94,3.24,5.79,2.73,5.53,3.46,5.01,4.18,4.35,,
Total,,,,,,,42.79,39.35,50.52,41.16,44.26,42.7,39.89,28.7,40,38.24,43.09,40.83,46.27,,
,,,,,,,,,,,,,,,,,,,,,
1939 Dec and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,
