"LOCKERBIE, CASTLE MILK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY149774,Long,-3.334657,Lat,55.083718,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,3.17,3.89,3.21,2.29,2.12,6.14,2.29,1.25,,4.15,1.5,2.13,1.21,2.59,1.05,5.46,2.15,3.1,5.73,3.65,1.89,5.64,1.9,4.32,3.67,3.64,1.71,3.92,5.18,3.48,3.33,5.34,3,5.68,3.6,4.87,8.08,,2.4,4.91,3.5,6.29,4.82,10.91,2.15,6.35
February,,,,,,5.08,2.34,1.98,0.76,1.75,1.75,0.36,0.78,0.4,4.97,0.12,1.82,3.76,3.55,3.97,3.5,0.86,0.5,4.85,2.94,2.09,2.72,3,2.94,1.8,4.71,4.78,3.31,2.27,5.52,7.77,3.32,1.17,5.38,0.97,3.54,0.2,3.47,6,0.62,5.35,6.21,2.69,4.39,1.53,0.08
March,,,,,,1.67,4.38,1.6,2.56,3.24,3.01,2.01,1.9,2.35,2.27,4.74,4.69,6.88,1.5,3.27,0.36,3.1,4.1,7.29,4.29,4.69,2.93,3.8,4.14,4.11,3.1,1.15,4.4,4.82,4.6,1.83,1.54,2.43,1.51,4.01,4.16,3.66,2.08,1.52,1.23,1.09,1.93,3.49,4.83,1.15,3.1
April,,,,,,4.43,1.67,1.33,1.78,2.53,1.28,1.69,2.2,0.8,2.15,1.92,1.58,3.03,3.64,3.52,2.99,3.7,2.4,1.9,3.94,3.02,0.81,2.8,1.73,4.21,2.29,4.52,0.43,4.03,1.91,2.42,3.53,2.89,0.54,2.93,2.93,1.33,2.49,5.02,3.27,4.1,3.35,2.37,0.79,1.68,1.96
May,,,,,,3.49,3.9,1.04,2.83,3.23,3.69,2.3,3.2,2.51,4.35,0.54,0.53,2.29,2.18,3.94,3.41,2.85,2.2,3.5,3,4.33,6.44,4.93,3.62,2.77,1.9,2.03,1.52,3.31,2.54,1.51,3.61,3.48,2.51,1.32,5.52,1.92,2.41,2.18,5.05,6.99,3.16,2.96,1.17,3.45,1.97
June,,,,,,1.15,0.92,1.36,1.97,2.98,3.75,0.16,3.2,1.8,3.95,1.14,3.49,4.39,2.2,1.79,3.72,4.05,1.5,1.55,3.87,2.25,2.18,7.62,2.92,2.34,1.24,1.88,4.73,3.09,0.56,0.75,2.56,2.27,2.02,1.78,1.93,0.51,1.84,1.25,2,0.33,3.44,4.34,5.62,2.63,3.35
July,,,,,,3.15,4.04,5.34,4.54,3.47,3.67,4,3.4,3.33,2.86,5.71,5.26,2.06,1.17,2.72,3.09,1.24,3.3,5,3.55,2.59,2.81,2.5,3.54,5.01,5.53,1.44,2.83,0.97,3.85,5.33,4.68,1.95,4.63,1.02,4.25,4.23,5.58,4.29,4.83,2.41,4.81,3.94,4.34,5.86,5.97
August,,,,,,3.23,2.07,2.26,3.22,5.64,5.17,7.9,5,3.56,3.27,4.28,1.98,6,6.22,1.9,6.42,5.15,3.35,5.3,4.33,5.12,7.22,5.5,6.05,2.87,8.33,2.9,5.26,1.44,3.79,3.32,3.66,7.44,3.75,3.46,4.21,5.06,3.01,10.4,5.19,5.58,5.84,6.8,8.33,7.55,9.28
September,,,,,,6.98,5.18,4.74,1.46,2.25,3.38,4.28,2.85,3.42,0.26,0.73,6.05,4.41,2.7,3.86,2.25,1.85,1.9,4.5,1.58,2.81,1.72,0.88,4,2.12,0.64,2.21,2.33,2.97,1.86,1.27,2.28,4.56,6.64,3.73,1.95,1.86,2.74,4.68,4.9,3.32,5.07,6.02,2.88,0.59,2.67
October,,,,,,3.68,4.46,1.86,3.06,3.14,2,6.99,5.02,4.15,2.83,3.45,4.5,2.55,3.18,2.35,6.05,4.75,2.85,10.09,3.26,2.71,5.12,8.1,3.01,8.59,3.2,3.35,4.77,3.8,1.31,2.12,7.6,5.62,6.53,2.01,2.05,2.69,2.07,6.8,4.25,5.36,4.24,4.76,8.05,5.47,7.44
