"COVESEA SKERRIES",,,,,,,,,,,,
Grid ref,NJ204713,Long,-3.338085,Lat,57.724385,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.39,0.36,,0.94,0.17,0.83,0.86,1.77,1.01,1.44,,
February,0.40,3.00,,0.98,1.01,0.62,1.34,1.30,1.65,1.01,,
March,0.44,1.30,,0.83,,2.02,1.73,1.22,1.60,2.12,,
April,1.09,0.53,,1.16,0.84,0.86,1.92,1.30,1.53,1.48,,
May,0.43,0.62,,1.15,0.79,1.39,3.36,1.54,1.31,1.39,,
June,0.39,1.46,,1.01,0.96,0.42,1.06,2.84,0.89,1.09,,
July,1.59,2.33,,2.39,0.17,0.85,1.53,1.97,1.31,1.17,,
August,0.92,0.75,,2.81,1.57,2.02,2.31,1.95,1.26,1.53,,
September,0.63,0.66,,0.66,1.64,1.40,1.58,0.49,2.14,1.42,,
October,0.88,2.25,,2.61,0.26,2.37,3.21,2.29,0.95,2.22,,
November,0.69,1.96,,1.61,0.47,4.18,4.55,1.25,1.45,2.12,,
December,0.61,1.56,,0.26,0.90,0.75,2.08,1.11,0.47,1.28,,
Total,9.46,16.78,,,,17.71,25.53,19.03,15.57,18.27,,
Calc annual,9.46,16.78,0.00,16.41,8.78,17.71,25.53,19.03,15.57,18.27,,
Difference,0.00,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
