GOMSHALL-BURROWS-LEA,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ078464,Long,-0.45824433,Lat,51.206647,Elevation,400,ft.,,,,,,,,,,,,
Station no,RR8544,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.09,2.37,1.62,3.28,3.66,0.8,4.67,1.21,,,
February,,,,,,,,,,0.73,3.48,1.45,2.11,1.18,3.92,5.55,5.21,,,
March,,,,,,,,,,4.31,1.56,2.26,3.93,3.02,4.85,0.82,5.27,,,
April,,,,,,,,,,2.45,2.1,2.01,0.06,2.56,1.21,1.59,1.1,,,
May,,,,,,,,,,2.15,2.71,1.08,1.3,2.6,1.46,3.05,2.1,,,
June,,,,,,,,,,3.49,2.28,2.77,3.46,0.56,0.78,1.5,2.48,,,
July,,,,,,,,,,2.97,3.37,1.25,2.12,2.81,1.93,4.63,1.27,,,
August,,,,,,,,,,2.9,2.89,0.9,6.67,1.97,1.51,2.05,3.41,,,
September,,,,,,,,,,2.41,0.79,1.14,4.15,2.34,0.99,2.47,2.22,,,
October,,,,,,,,,,5.82,3.56,4.16,3.02,5.08,1.99,3.19,4.91,,,
November,,,,,,,,,,0.8,3.5,4.09,2.86,3.1,3.44,3.14,5.74,,,
December,,,,,,,,,,3.82,4.29,7.38,3.08,1.7,9.36,5.83,3.37,,,
Total,,,,,,,,,,32.94,32.9,30.11,36.04,30.58,32.24,38.49,38.29,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Burrows Lea. Altitudes match.,,,,,,,,,,,,,,,,,,,,
