NORTHAMPTON-HAZELWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP758603,Long,-0.891453,Lat,52.235685,Elevation,253,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.99,1.03,3.33,2.12,1.84,2.52,2.45,3.41,1.18,2.17,0.33,1.13,1.52,2.75,2.22,1.42,2.6,2.51,0.89,0.78,2.21,1.67,0.83,1.48,1.44,2.85,,,,,,,,,,,,,,0.87,2.16,0.74,3.13,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.86,1.17,1.69,1.43,1.85,1.15,2.08,1.79,1.58,2.77,2.72,2.76,1.71,3.26,0.6,2.92,0.51,0.6,2.04,1.75,0.72,0.03,1.16,1.84,1.68,0.29,,,,,,,,,,,,,,0.44,2.58,1.15,1.86,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.06,1.13,2,2.13,0.82,0.96,3.06,2,0.63,0.83,1.31,1.51,1.23,1.15,1.27,0.99,1.67,1.37,2.66,2.09,1.39,0.84,0.63,0.12,1.08,2.37,,,,,,,,,,,,,,2.23,0.73,1.78,2.73,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.58,2.27,2.17,0.64,1.26,2.17,3.45,2.4,1.84,2.08,1.23,0.7,3.48,1.74,1.52,2.05,1.77,1.18,1.81,1.69,1,1.94,0.6,0.26,1.16,1.16,,,,,,,,,,,,,,1.75,1.46,0.83,0.09,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.64,0.44,1.97,2.07,0.71,1.3,0.43,2.06,4.06,2.9,1.08,0.57,1.87,1.53,0.9,2.44,3.92,2.4,0.92,3.34,1.6,2.82,1.53,2.17,1.12,0.3,,,,,,,,,,,,,,1.35,1.98,2.83,1.96,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.65,3.43,3.52,2.72,0.4,3.14,1.21,0.74,3.84,4.31,2.07,1.97,2.72,3.13,0.66,1.72,0.88,1.19,1.47,0.88,1.59,1.66,1.63,0.61,1.74,0.65,,,,,,,,,,,,,,3.11,1,1.4,2.93,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.61,3.7,3.73,1.5,1.17,7.17,1.09,3.17,0.45,3.39,7.36,3.58,3.18,3.43,3.75,0.34,3.39,0.71,4.2,2.91,2.95,2.17,1.55,2.44,2.89,2.32,,,,,,,,,,,,,,2.5,1.99,0.48,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.87,0.54,2.65,2.19,1.65,1.3,1.82,3.71,4.41,3.58,0.69,3.95,1.47,1.09,1.8,2.19,1.76,1.29,1.87,1.76,1.6,3.25,2.01,2.34,2.03,,,,,,,,,,,,,,,2.03,2.32,0.98,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.8,4.32,1.31,1.2,3.43,2.74,5.52,2.2,2.24,2.8,4.65,1.42,3.1,4.66,1.14,3.65,1.29,1.65,1.1,2.19,0.76,0.5,2.92,0.52,0.93,,,,,,,,,,,,,,,2.88,0.61,1.1,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.92,1.07,3.59,2.22,3.13,5.88,1,1.04,2.26,0.46,5.5,2.87,5.18,1.62,0.8,3.41,3.47,1.68,0.51,3.07,1.31,4.15,3.53,2.35,2.4,,,,,,,,,,,,,,,3,2.82,1.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
