WESTWARD-HO-BEACON-LIGHTS-(FERNDALE),,,,,,,,
Grid ref,SS430290,Long,-4.23999,Lat,51.03923,Elevation,85,ft
Station no,RR8746,,,,,,,
,,,,,,,,
,1903,1904,1905,1906,1907,1908,1909,
January,4.6,4.11,,,,,,
February,1.72,4.3,,,,,,
March,5,1.14,,,,,,
April,1.68,0.99,,,,,,
May,3.09,2.04,,,,,,
June,0.97,0.94,,,,,,
July,3.15,4.16,,,,,,
August,3.37,2.43,,,,,,
September,3.69,2.29,,,,,,
October,10.11,1.92,,,,,,
November,2.14,2.64,,,,,,
December,3.16,2.88,,,,,,
Total,42.68,29.84,,,,,,
,,,,,,,,
1903 Note at top of sheet says gauge at Ferndale 100yds SW of Beacon Lights,,,,,,,,
