WESTWARD-HO-BEACON-LIGHTS,,,,,,,,,,,,,
Grid ref,SS431291,Long,-4.23891,Lat,51.04003,Elevation,55,ft,,,,,
Station no,RR8746,,,,,,,,,,,,
,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902
January,,,,,,,,,,4.9,4.37,1.9,1.76
February,,,,,,,,,,2.84,4.51,1.23,1.28
March,,,,,,,,,,0.89,0.94,1.9,2.36
April,,,,,,,,,,2.38,1.04,2.52,1.46
May,,,,,,,,,,2.5,1.15,0.77,2.26
June,,,,,,,,,,1.08,2,3.02,3.13
July,,,,,,,,,,0.44,0.88,1.5,1.98
August,,,,,,,,,,1.63,2.01,2.21,1.95
September,,,,,,,,,,3.24,1.37,2.82,3.03
October,,,,,,,,,5.53,3.11,4.98,3.39,3.07
November,,,,,,,,,2.35,3.01,4.53,1.51,4.51
December,,,,,,,,,3.67,3.09,5.41,7.26,2.51
Total,,,,,,,,,,29.11,33.19,30.03,29.3
,,,,,,,,,,,,,
1901 July 28 Observer discovered a small hole in funnel of the gauge,,,,,,,,,,,,,
1901 Estimate of 0.21in lost due to hole and added to total and July,,,,,,,,,,,,,
1903 Note at top of sheet says gauge at Ferndale 100yds SW,,,,,,,,,,,,,
