MORCOMBELAKE,,,,,,,,,,,,
Grid ref,SY398948,Long,-2.854685,Lat,50.749665,,,,,,,
Station no,1594/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.16,2.54,1.04,2.38,4.76,4.73,3.92,4.50,6.09,4.06,,
February,4.67,0.74,2.33,4.29,3.43,0.23,5.08,4.37,0.58,4.63,,
March,4.17,4.02,0.59,5.30,1.61,0.88,4.02,2.13,4.37,2.19,,
April,1.91,2.54,3.29,0.25,1.56,1.09,0.21,0.92,2.77,3.43,,
May,2.71,2.67,3.99,1.92,5.30,0.93,1.90,3.70,0.99,2.04,,
June,0.95,1.74,2.25,3.34,3.66,2.75,2.29,3.40,1.24,1.16,,
July,3.48,1.32,3.47,3.26,4.29,2.40,3.75,3.00,1.53,4.32,,
August,5.45,3.58,2.42,4.07,0.64,5.80,2.85,3.15,2.66,5.28,,
September,4.36,3.47,2.98,4.72,2.02,7.78,3.93,6.59,0.14,6.73,,
October,1.12,5.31,3.39,3.80,2.43,3.19,3.16,2.80,4.00,10.64,,
November,8.22,4.86,1.70,7.58,4.99,1.07,2.47,3.20,5.87,5.88,,
December,3.85,3.64,0.87,4.29,6.15,6.23,4.07,6.37,9.01,4.32,,
Total,45.05,36.43,28.32,45.20,40.84,37.08,37.65,44.13,39.25,54.68,,
Calc annual,45.05,36.43,28.32,45.20,40.84,37.08,37.65,44.13,39.25,54.68,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
