LAUNCESTON POLAPIT TAMAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX332893,Long,-4.36229,Lat,50.679393,Elevation,315,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3.5,1.53,10.35,9.76,6.22,6.77,1.14,6.73,2.51,3.89,0.84,2.61,2.48,3.88,4.16,2.6,6.24,3.42,2.09,1.86,5.29,3.29,2.31,2.4,4.19,4.09,1.11,3.06,0.9,6.73,5.64,3.95,2.4,5.14,6.19,2.44,7.46,2.73,2.24,2.76,6.3,1.33,4.77,7.21,1.67,5.1,2.07,2.17,5.83,6.46,7.82,4.38,5.2,3.34,5.7,4.3,6.97,8.02,7.29,2.44,7.04,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.39,2.92,5.4,2.86,3.05,1.18,3.42,2.83,1.8,5.45,4.25,3.59,2.86,6.96,3.83,4.45,1.26,0.71,1.13,3.69,1.33,0.24,2.71,5.39,2.34,0.12,0.78,3.94,2.83,3.6,5.62,1.86,1.74,2.6,7.59,1.63,5.34,1.71,3.56,0.87,6.97,1.98,3.68,1.71,5.08,8.78,7.99,1.21,2.82,3.35,1.06,0.22,4.37,10.11,1.9,7.47,3.26,3.68,3.8,1.52,1.7,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.39,2.82,4.4,2.91,1.16,1.32,4.41,3.53,2.49,0.89,1.71,3.4,1.35,1.7,3.6,1.72,2.69,1.33,4.53,3.33,1.64,2.11,0.9,0.56,2.35,3.03,4.69,3.89,1.2,1.4,1.85,3.88,3.01,5.86,2.14,5.8,2.02,1.41,5.05,5.18,1.03,2.22,5.95,5.24,7.92,0.64,2.8,3.11,1.77,5.37,4.14,3.4,4.42,1.89,2.59,1.13,0.9,5.42,4.72,0.4,2.82,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.25,4.33,3.72,0.52,1.64,1.74,2.95,3.5,2.22,2.28,2.24,0.77,5.19,1.46,1.58,3.91,2.15,0.97,1.69,2.21,2.75,2.43,1.55,0.53,2.01,2.42,0.83,3.32,1.91,3.79,1.55,3.77,1.97,2.23,1.99,3.21,1.46,4.37,2.52,2.58,2.67,3.06,0.33,5.12,2.22,1.39,1.41,2.72,2.53,3.19,4.92,0.74,4.83,3.14,3.94,3.32,2.11,2.2,2.21,1.28,2.44,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.73,0.17,2.12,1.83,,2.33,0.17,3.72,4.79,2.4,1.22,0.82,2.26,1.58,1.49,2.28,2.98,1.54,1.28,2.82,2.03,3.19,2.17,1.65,2.69,0.33,0.07,1.39,4.36,3.38,1.92,1.28,2.2,2.68,2.97,0.48,2.3,3.06,1.7,1.5,2.66,0.86,1.65,3.15,1.34,2.68,1.51,1.68,0.82,1.67,1.78,2.34,1.39,2.87,3.15,4.59,1.11,0.83,1.28,3.99,1.87,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.34,2.08,3.61,1.42,,1.93,2.27,1.38,3.67,6,3.23,3.38,4.44,3.15,1.38,2.16,0.78,0.08,2.66,0.81,2.83,2.15,1.71,1.27,1.8,1.55,1.49,1.73,2.04,1.03,3.17,2.26,3.52,1.8,1.31,1.72,1.49,2.43,0.97,2.65,1.76,4.17,5.66,1.55,2.32,2.03,1.67,4.17,1.93,1.06,2.2,0.02,1.15,0.85,2.16,0.01,2.8,2.57,1.79,2.42,0.81,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.06,5.19,2.79,4.35,,2.6,0.65,4.28,1.91,3.41,4.53,2.07,6.39,3.65,3.39,0.65,2.08,1.01,6.29,4.07,3.17,2.77,1.37,5.69,3.29,3.68,1.55,3.68,0.38,0.99,1.2,1.2,2.36,3.54,5.73,0.63,1.54,1.56,2.55,2.22,2.49,0.55,2.65,0.48,4.49,4.79,1.24,1.88,4.12,0.98,5.02,1.41,3.14,1.6,4.13,4.71,2.76,3.86,2.16,2.05,2.39,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.68,1.28,1.6,7.29,,1.67,3.61,4.28,5.86,4.1,2.14,3.62,4.78,1.55,1.48,1.95,2.16,1.49,2.51,3.18,2.69,8.09,3.86,1.51,4.11,3.29,2.4,5.85,3.22,1.35,3,2.14,1.66,4.55,2.32,5.32,2.91,1.82,4.42,1.98,4.83,1.78,9.55,1.06,2.62,2.21,3.01,5.88,3.29,2.61,1.59,2.61,3.08,3.26,4.97,3.26,2.08,3.12,3.51,3.89,4.08,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.3,7,5.06,2.3,6.09,4.32,4.85,2.48,3.08,3.51,4.25,2.72,4.45,5.82,1.85,7.42,3.33,4.27,0.98,2,1.73,3.15,2.82,2.57,2.1,0.66,6.17,6.03,1.71,3.99,1.87,2.71,2.95,4.43,2.52,1.78,1.14,1.11,2.71,1.18,0.21,2.72,1.19,2.87,3.05,1.83,2.55,1.78,8.4,1.82,2.03,1.37,3.88,3.47,4.09,4.08,0.97,7.61,2.1,0.71,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,8.95,6.08,5.11,4.28,4.22,5.66,4.41,3.1,5.73,2.5,6,3.84,5.48,3.91,2.92,7.01,7.41,4.89,2.43,5.4,3.3,6.72,5.96,3.65,5.11,6.45,5.21,1.5,8.37,3.34,3.78,3.51,3.32,11.27,2.32,2.58,5.72,7.96,1.31,7.45,5.73,3.87,4.56,4.72,2.96,3.91,6.35,7.82,3.07,1.94,6.36,1.56,1.59,7.91,6.49,4.42,3.39,2.94,6.49,7.91,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,4.71,1.27,8.81,4.93,3.38,6.24,3.38,7.05,4.58,0.41,2.75,4.75,6.63,5.67,2.87,4.03,4.44,3.67,6.17,2.41,4.86,3.81,2.99,3.33,7.56,7.25,1.79,2.7,2.57,3.66,5.73,0.88,5.24,3.42,4.52,5.72,4.17,3.5,1.77,1.92,6.94,5.59,3.82,5.58,4.93,3.48,6.44,3.13,4.28,5.53,3.32,3.67,2.74,4.91,3.75,4.79,9.11,4.08,5.35,12.3,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2.77,3.86,11,1.37,5.31,1.97,8.75,3.3,4.45,1.61,5.56,5.02,5.86,1.78,4.72,2.18,6.24,3.73,3.93,3.25,3.25,5.05,2.63,4.46,3.61,4.8,6.72,6.27,4.73,3.57,5.82,7.26,4.55,4.64,3.75,1.54,4.55,6.48,3.98,5.78,7.46,11.29,6.18,3.88,10.58,9.52,4.88,1.57,6.54,7.83,3.99,3.41,6.91,5.84,7.2,5.48,1.52,4.86,5.09,10.61,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,29.07,38.53,63.97,43.82,,37.73,40.01,46.18,43.09,36.45,38.72,36.59,52.17,41.11,33.27,40.36,41.76,27.11,35.69,35.03,34.87,43,30.98,33.01,41.16,37.67,32.81,43.36,34.22,36.83,41.15,34.7,34.92,52.16,43.35,32.85,40.1,38.14,32.78,36.07,49.05,39.42,49.99,42.57,49.18,46.36,41.92,37.12,45.4,41.81,44.23,25.13,42.7,49.19,50.07,47.56,36.98,49.19,45.79,49.52,46.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-Aug 1874 figures removed as none recorded (only estimates shown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
