CLOUGHERNEY TYRONE,,,,,,,,,,,,,,,,,,,,
Grid ref,IH5708591489,Long,-7.113736,Lat,54.768238,Elevation,420,ft,,,,,,,,,,,,
Station no,RR1448,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,4.85,3.31,5.5,7.29,2.82,5.01,4.56,3.91,9.54,,,,
February,,,,,,,,3.01,3.58,4.29,3.32,2.93,1.34,2.11,2.5,5.75,,,,
March,,,,,,,1.03,4.13,1.35,5.67,6.3,6.42,4.22,2.62,4.57,4.17,,,,
April,,,,,,,2.13,5.88,5.87,3.74,2.64,0.79,4.14,3.22,3.05,1.15,,,,
May,,,,,,,4.96,2.04,2.54,0.4,5.91,1.45,2.82,3.7,2.5,4.34,,,,
June,,,,,,,2.28,3.08,1.02,2.26,9.51,2.92,3.8,5.64,4.71,,,,,
July,,,,,,,2.93,2.59,3.21,3.77,1.9,6.15,4.48,1.05,2.18,,,,,
August,,,,,,,4.57,3.47,2.67,4.33,6.64,7.92,2.63,4.87,2.46,,,,,
September,,,,,,,4.67,2.93,2.34,5.75,2.55,8.17,2.53,6.77,4.65,,,,,
October,,,,,,,1.89,2.76,3.58,2.85,5.14,2.52,6.51,7.03,2.13,,,,,
November,,,,,,,2.01,3.14,2.28,2.86,1.93,4.58,2.35,5.28,6.6,,,,,
December,,,,,,,4.85,3.77,6.73,5.6,2.59,2.45,4.42,4.29,2.47,,,,,
Total,,,,,,,,41.65,38.48,47.02,55.72,49.12,44.25,51.14,41.73,,,,,
,,,,,,,,,,,,,,,,,,,,
The observer Rev Robert Dixon DD lived at the former rectory and NGR for that,,,,,,,,,,,,,,,,,,,,
