"ACTON (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ212797,Long,-0.255182,Lat,51.503249,,,,,,,
Station no,846/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.59,0.44,0.87,,,0.97,1.86,2.12,0.89,,
February,,0.70,1.19,1.77,,,2.60,2.48,0.05,2.06,,
March,,2.02,0.31,2.15,,,1.02,1.15,1.67,1.88,,
April,,1.17,1.78,0.28,,,0.23,1.46,2.26,0.48,,
May,,1.62,1.20,2.55,,,0.99,2.10,0.46,1.64,,
June,1.13,1.30,1.78,3.35,,,1.07,4.43,0.68,1.04,,
July,0.89,0.45,4.03,2.62,,,3.07,2.67,1.68,3.13,,
August,2.22,2.81,1.93,3.32,,,2.04,3.44,1.28,4.84,,
September,2.12,1.90,1.79,1.77,,,2.19,3.74,0.02,3.81,,
October,0.79,1.85,1.56,1.94,,,1.89,2.53,1.96,5.07,,
November,4.42,1.84,0.41,3.52,,,2.25,1.86,2.11,3.67,,
December,1.26,2.64,0.67,1.57,,,2.01,3.66,3.32,2.14,,
Total,,19.89,17.09,25.71,,,20.33,31.38,17.61,30.65,,
Calc annual,12.83,19.89,17.09,25.71,0.00,0.00,20.33,31.38,17.61,30.65,,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,0.00,0.00,0.00,0.00,,
