ACTON-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ212797,Long,-0.25518173,Lat,51.503249,Elevation,23,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,846/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.06,,3.67,3.24,2.29,3.82,2.03,2.27,1.68,,,,1.21,1.06,2.96,0.64,,,1.59,0.44,0.87,,,0.97,1.86,2.12,0.89
February,,,,0.18,,1.32,3.63,0.32,0.62,1.46,1.64,0.7,,,,2.04,1.18,1.51,0.67,2.87,,0.7,1.19,1.77,,,2.6,2.48,0.05,2.06
March,,,,1.82,,0.92,2.52,0.21,1.04,3.22,2.83,1.49,,,,1.01,4.54,0.45,0.75,0.53,,2.02,0.31,2.15,,,1.02,1.15,1.67,1.88
April,,,,1.13,,1.26,2.01,0.04,2.11,1.5,1.32,0.61,,,,1.62,1.32,1.12,1.32,2.08,,1.17,1.78,0.28,,,0.23,1.46,2.26,0.48
May,,,,0.32,,0.5,2.24,1.24,1.27,1.21,1.65,2.25,,,,3.09,0.98,2.39,1.72,1.64,,1.62,1.2,,,,0.99,2.1,0.46,1.64
June,,,,1.08,,3.19,1.8,0.25,1.37,0.63,1.85,0.49,,,,2.76,2.56,1.29,0.61,1.25,1.13,1.3,1.78,,,,1.07,4.43,0.68,1.04
July,,,,1.81,,3.03,0.49,0.59,1.73,2.39,4.66,1.53,,,,2.45,1.91,0.84,1.2,3.4,0.89,0.45,4.03,,,,3.07,2.67,1.68,3.13
August,,,,1.48,,0.37,2.04,3.26,3.21,0.07,5.27,1.67,,,,3.89,0.27,2.43,1.18,2,2.22,2.81,1.93,3.32,,,2.04,3.44,1.28,4.84
September,,,,1.35,,3.01,1.56,2.51,1.08,1.29,0.36,1.05,,,,3.51,1.09,1.24,0.31,2.67,2.12,1.9,1.79,1.77,,,2.19,3.74,0.02,3.81
October,,,,0.82,,1.49,2.44,1.91,4.91,2.41,0.66,3.24,,,,1.35,0.1,1.64,5.01,0.34,0.79,1.85,1.56,1.94,,,1.89,2.53,1.96,5.07
November,,,,1.85,,2.88,1.33,2.45,4.52,6.35,2.31,1.8,,,,3.34,0.89,1.4,2.26,4.02,4.42,1.84,0.41,,,,2.25,1.86,2.11,3.67
December,,,,4.33,,1.4,3.56,3.21,0.87,1.11,1.74,2.22,,,,1.83,2.25,2.31,1.39,1.49,1.26,2.64,0.67,1.57,,,2.01,3.66,3.32,2.14
Total,,,,17.23,,23.04,26.86,18.28,26.55,23.67,26.56,18.73,,,,28.1,18.15,19.58,17.06,,,19.89,17.09,,,,20.33,31.38,17.61,30.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 5583 ACTON P STA Start 1934 end 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Acton Sewage disposal works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
