ST-OLAVES-PRIORY (PADDOCK),,,,,,,,,,
Grid ref,TM457996,Long,1.6217362,Lat,52.538782,Elevation,10,ft,,
Station no,RR6818,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.89,2.14,3.2,2.35,3.11,,,,
February,,1.64,1.46,0.67,1.45,2.86,,,,
March,,2.08,2.45,2.23,3.33,1.82,,,,
April,,0.8,0.29,2.13,0.72,0.85,,,,
May,3.06,0.96,0.66,1.5,1.45,2.21,,,,
June,2.81,2.16,2.31,1.33,2.04,1.94,,,,
July,2.95,0.57,2.82,2.78,2.46,5.36,,,,
August,2.18,0.33,7.23,1.14,0.43,3.18,,,,
September,1.98,1.99,2.77,1.06,1,1.53,,,,
October,1.52,2.32,1.8,3.54,2.14,2.56,,,,
November,4.37,3.19,2.81,1.85,3.32,3.26,,,,
December,4.16,3.8,2.04,0.9,5.6,4.06,,,,
Total,,21.73,28.78,22.33,26.29,32.74,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1916 values removed as duplicates of Boat House gauge,,,,,,,,,,
