LONDON-SAVILE-ROW,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ291807,Long,-0.14105778,Lat,51.510488,Elevation,70,ft.,,,,,,,,,,,,
Station no,RR8093,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,1.11,1.03,0.81,2.33,1.59,0.5,1.34,2.8,,,,,
February,,,,,,,,0.45,0.78,2.09,0.96,0,1.55,2.77,1.64,,,,,
March,,,,,,,,1.57,2.88,1.27,1.68,1.7,0.92,0.22,1,,,,,
April,,,,,,,,1.36,2.13,1.85,2.09,1.01,1.07,0.1,1.5,,,,,
May,,,,,,,,1.4,0.96,3.02,1.24,2.46,1.71,0.5,1.58,,,,,
June,,,,,,,,1,2.54,1.86,2.56,1.04,2.24,0.67,1.88,,,,,
July,,,,,,,,0.74,5.02,2.6,4.19,4.1,1.43,2.26,2.8,,,,,
August,,,,,,,,3.06,3.18,2.05,1.5,4.03,3.02,1.42,2.64,,,,,
September,,,,,,,1.75,1.74,1.32,1.57,0.51,1.25,2.28,0.83,1.06,,,,,
October,,,,,,,1.81,1.14,1.24,3.53,1.15,4.74,3.48,3.8,4.29,,,,,
November,,,,,,,2.62,3.2,4.02,0.86,1.46,1.84,2.35,1.95,2.66,,,,,
December,,,,,,,3.85,1.21,0.98,1.27,0.58,2.99,1.22,1.98,2.19,,,,,
Total,,,,,,,,17.98,26.08,22.78,20.25,26.75,21.77,17.84,26.04,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the mid-point of Savile Row. Altitude from OS map.,,,,,,,,,,,,,,,,,,,,
