AXMINSTER-COAXDON-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST310008 ,Long,-2.97954,Lat,50.80265,Elevation,165,ft,,,,,,,,,,,,,
Station no,1821,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,5.63,3.07,6.02,1.87,4.53,4.84,5.86,4.06,5.85,1.87,5.82,3.05,3.02,2.83,2.59,,,,,,
February,0.43,0.31,3.6,10.27,0.86,6.06,2.22,4.1,3.28,1.78,1.29,2.15,0.02,6.01,0.2,,,,,,
March,3.09,1.58,3.54,1.58,1.85,0.31,0.48,4.74,3.16,0.2,2.14,1.3,2.36,4.19,2.76,,,,,,
April,4.86,0.88,4.12,3.06,3.48,3.47,2.25,2.08,1.64,0.96,3.38,2.56,3.33,1.77,3.1,,,,,,
May,1.98,2.23,0.68,0.85,4.52,4.41,1.64,0.78,2.36,2.47,1.65,2.87,4.25,1.84,1.08,,,,,,
June,2.51,1.11,0.67,0.56,2.93,0,3.17,2.27,2.31,1.72,0.15,4.03,2.71,1.84,1.03,,,,,,
July,4.85,0.58,5.15,0.88,4.31,2.98,3.97,4.14,1.75,1.16,1.98,3.73,2.67,2.72,0.22,,,,,,
August,1.77,2.24,4.18,2.72,2.78,2.63,2.16,3.26,2.13,2.31,4.55,3.78,1.54,1.68,4.26,,,,,,
September,2.13,0.76,2.42,2.81,6.52,3.74,0.7,5.47,1.46,0.6,5.91,1.47,5.02,1.8,,,,,,,
October,2.65,1.32,1.68,5.42,6.36,4.08,3.56,2.47,8.14,4.89,2.83,0.33,6.44,2.42,,,,,,,
November,2.13,4.94,2.28,2.5,4.57,4.29,10.62,3.6,3.93,10.91,6.11,6.6,2.52,0.82,,,,,,,
December,4.13,1.77,5.21,4.04,5.39,5.22,0.39,4.43,3.16,8.37,5.16,1.43,2.72,1.27,,,,,,,
Total,36.16,20.79,39.55,36.56,48.1,42.03,37.02,41.4,39.17,37.24,40.97,33.3,36.6,29.19,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1934 Observer moved to Sidmouth Somerton Lodge,,,,,,,,,,,,,,,,,,,,,
