SWANSEA-SKETTY (ST JAMES GARDENS),,,,,,,,,,
Grid ref,SS6432793060,Long,-3.9611591,Lat,51.619962,Elevation,141,ft,,
Station no,RR4593,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.61,2.58,2.91,7.16
February,,,,,,,1.41,6.45,2.91,4
March,,,,,,,5.12,5.46,1.54,2.18
April,,,,,,,1.14,4.53,2.62,5.73
May,,,,,,,0.13,1.77,3.13,3.55
June,,,,,,,1.77,4.04,3.15,1.68
July,,,,,,,3.54,2.14,1.27,2.38
August,,,,,,,3.01,7.09,5.44,2.27
September,,,,,,,7.5,6.51,1.97,2.7
October,,,,,,,5.21,2.02,8.83,3.96
November,,,,,,,1.53,4.03,4.2,3.52
December,,,,,,,8.57,7.16,6.35,3.7
Total,,,,,,,40.54,53.78,44.32,42.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1896 Gauge moved,,,,,,,,,,
1900 - Obs move to GLANMOR CRESCENT,,,,,,,,,,
