"BENSON AIRFIELD",,,,,,,,,,,,
Grid ref,SU631909,Long,-1.090096,Lat,51.613402,,,,,,,
Station no,1080/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.34,1.37,0.90,0.85,2.17,3.54,1.45,2.75,3.01,2.62,,
February,4.28,0.56,1.47,1.90,1.26,0.33,2.83,2.59,0.14,1.80,,
March,3.51,1.96,0.46,2.28,1.08,0.72,1.14,1.24,2.83,1.04,,
April,2.52,1.27,2.06,0.29,0.49,1.39,0.16,0.95,2.16,0.37,,
May,2.57,2.61,1.65,2.39,3.45,0.27,1.43,1.88,0.43,1.77,,
June,1.83,1.27,2.25,4.08,1.85,2.13,3.27,3.58,1.35,1.68,,
July,1.10,0.41,2.37,2.47,0.10,1.86,3.57,2.85,2.31,3.23,,
August,3.11,3.06,1.85,3.06,0.39,3.30,2.73,3.45,1.70,2.40,,
September,3.34,1.92,1.87,1.50,1.31,1.70,2.53,3.13,0.08,2.46,,
October,0.77,2.88,2.22,1.79,2.11,1.63,1.78,2.89,1.82,5.24,,
November,5.67,3.08,2.08,4.66,1.58,0.57,1.79,2.72,2.21,2.94,,
December,1.84,2.38,0.59,2.41,2.48,3.59,2.70,2.77,3.85,3.66,,
Total,32.88,22.77,19.77,27.68,18.27,21.03,25.38,30.80,21.89,29.21,,
Calc annual,32.88,22.77,19.77,27.68,18.27,21.03,25.38,30.80,21.89,29.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
