DALMELLINGTON BENQUHAT & BOWHILL,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 442 124,Long,-4.459478,Lat,55.38139,Elevation,970,ft,,,,,,,,,,,,
Station no,RR1675,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,6.17,4.09,3.17,4.17,6.22,4.29,4.93,4.93,3.97,4.2,5.38,4.29,,,,,,
February,,,1.3,4.4,3.96,4.03,3.43,3.4,4.11,3.95,5.33,7.89,2.97,3.49,,,,,,
March,,,3.04,5.62,3.25,4.34,3.61,4.65,4.84,2.86,2.92,2.18,5.72,4.64,,,,,,
April,,,1.81,1.17,5.13,3.63,2.3,3.36,1.57,4.56,3.67,4.78,3.54,4.08,,,,,,
May,,,1.82,2.94,2.35,1.66,5.17,4.34,2.7,2.4,3.23,2.93,2.28,4.33,,,,,,
June,,,0.81,1.49,1.95,2.25,2.7,5.18,2.86,3.5,2.49,3.9,6.28,4.02,,,,,,
July,,,1.82,2.79,3.16,3.68,3.99,2.47,3.84,8.95,5.56,2.08,2.66,1.36,,,,,,
August,,,1.84,4.23,6.37,4.73,5.8,5.29,4,3.99,8.03,2.61,3.26,1.82,,,,,,
September,,4,3.11,2.61,3.89,2.93,2.18,1.66,6.72,2.7,2.19,2.77,4.26,1.83,,,,,,
October,,6.29,1.79,6.29,3.52,7.13,7.65,8.86,1.24,7.17,3.36,4.8,4.65,,,,,,,
November,,7.29,1.93,3.84,6.18,4.65,5.49,3.87,4.54,2.73,4.44,4.92,5.98,,,,,,,
December,,4.96,2.78,3.23,4.68,5.05,6.9,5.33,3.77,4.21,7.3,9.58,8.1,,,,,,,
Total,,,28.22,42.7,47.61,48.25,55.44,52.7,45.12,51.95,52.49,52.64,55.08,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1901 sep Gauge moved from Benquhat,,,,,,,,,,,,,,,,,,,,
approx 2 miles,,,,,,,,,,,,,,,,,,,,
1913 moved back to Benquhat,,,,,,,,,,,,,,,,,,,,
approx 2 miles,,,,,,,,,,,,,,,,,,,,
