PENISTONE CARLCOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE178033,Long,-1.732968,Lat,53.526066,Elevation,1075,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.64,3.61,9.2,2.7,5.24,10.46,5.88,7.99,7.65,6.1,2.57,11.45,5.11,5.91,6.58,1.89,6.62,6.83,0.46,0.22,0.45,4.9,7.77,9.2,2.75,3.7,1.28,1.3,2.01,3.14,2.98,3.39,1.68,4.17,4.09,2.52,2.15,4.62,6.48,6.97,3.06,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,4.05,1.09,2.78,4.64,4.24,10.31,8.65,5.96,9.9,3.35,4.59,8.04,0,3.41,0.87,5.57,4.23,1.97,3.66,5.5,4.68,3.42,3.49,2.9,4.14,0.54,0.57,1.27,2.08,0.66,0.14,2.29,5.37,8.88,0.75,2.36,4.23,5.37,1.91,3.98,1.73,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,9.56,4.6,1.53,3.57,1.61,2.84,3.52,9.39,2.25,4.36,2.39,4.41,5.99,7.34,1.85,6.42,4.08,3.02,2.47,4.87,5.55,3.83,0.61,1.92,2.85,2.73,1.87,3.44,3.3,2.78,2.51,0.54,1.22,4.16,4.13,6.95,5.55,2.8,2.01,1.3,4.55,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.09,1.59,4.26,2.57,1.75,2.47,3.32,9.04,4.06,3.38,1.96,4.73,5.57,0.43,3.55,1.57,3.35,3.2,3.07,2.4,2.37,1.14,4.9,2.76,2.22,2.25,2.96,0.6,3.22,4.86,1.21,2.16,1.45,0.48,2.75,3.15,2.48,4.69,3.83,3.09,2.61,2.57,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.59,1.12,5.94,3.33,3.72,4.23,3.79,2.91,1.63,7.55,2.21,2.17,5.53,3.89,1.91,2.76,1.09,4.64,5.09,2.52,3.25,4.53,1.57,1.66,2.56,3.32,6.42,3.05,0.58,3.75,3.39,4.02,5.1,2.6,2.23,0.84,0.55,1.5,4.7,3.53,2.04,1.67,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,7.88,2.33,4,5.15,2.52,1.54,7.63,2.92,0.25,1.25,2.3,5.38,6.76,2.71,1.18,5.03,3.6,2.66,3.68,4.85,3.75,2.58,5.31,4.86,1.83,3.51,1.56,0.47,3.36,0.61,2.78,2.73,3.6,1.45,3.17,3.61,4.33,4.87,2.19,1.96,3.11,1.19,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.69,5.15,4.93,2.33,1.36,4.74,6.75,6.96,1.03,0.8,0.79,4.18,7.07,2.92,2.03,5.51,2.61,3.91,1.67,5.54,6.28,3.81,4.79,3.48,3.86,1.24,5.3,0.91,6.36,3.92,2.53,2.6,3.19,3.96,5.06,5.89,1.53,1.61,0.93,2.04,3.18,5.62,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,6.05,2.84,2.74,5.17,2.48,5.08,8.09,3.23,4.55,2.18,2.13,2.6,4.03,4.71,5.48,3.56,3.2,6.31,7.52,5.9,1.59,4.88,2.63,3.28,1.41,2.15,2.07,1.8,2.75,2.71,3.12,5.51,2.97,2.6,4.41,4.04,2.41,4.34,4.98,1.38,5.57,1.42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.78,4.63,4.5,7.16,3.47,0.67,8.18,4.13,5.25,11.46,4.01,8.71,9.36,4.05,3.55,4.67,5.44,4.73,4.93,2.75,6.09,2.94,3.13,7.88,1.72,4.11,1.91,3.32,1.18,3.09,1.24,3.69,3.93,3.02,1.11,0.91,8.59,4.19,0.61,6.52,1.02,0.51,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,6.12,1.72,9.55,9.59,6.05,11.1,3.9,5.64,8.9,4.03,16.38,5.86,8.72,7.32,5.71,6.15,2.78,5.73,4.7,3.25,7.35,6.43,4.66,6.39,3,8.68,5.72,3.39,0.98,7.1,2.66,4.99,8.15,2.86,7.42,5.5,6.82,2.26,5.28,4.67,5.7,2.96,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,3.4,6.9,1.69,5.85,7.67,8.42,9.87,2.72,6.09,3.88,3.71,2.82,9.57,5.25,3.32,5.12,4.33,8.61,2.82,1.22,5.84,4.97,8.58,4.81,2,2.83,1.86,2.92,10.39,0.83,4.65,3.7,1.77,3.85,3.43,5.46,2.14,5.78,2.78,2.5,3.82,6.1,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2.48,3.09,4.38,7,3.53,2.62,9.4,4.92,15.26,8.35,3.43,3.19,5.98,1.81,3.32,2.14,9.32,5.3,2.66,4.68,5.82,5.35,4.21,3.95,6.36,1.35,4.86,1.85,2.54,2.07,0.42,9.25,1.72,4.71,4.06,5.74,6.56,5.97,6.49,3.84,6.75,5.55,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,43.62,51.29,61.66,43.46,51.96,84.54,60.52,70.36,62.68,50.73,49.19,86.49,44.19,46.71,45.81,49.6,60.02,47.96,39.7,52.93,47.31,51.93,50.94,38.98,39.18,39.63,22.03,37.37,36.33,28.58,44.28,38.1,33.8,50.85,44.11,47.24,47.14,44.58,39.93,46.05,36.93,35.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
