"BLUBBERHOUSES",,,,,,,,,,,,
Grid ref,SE166553,Long,-1.748293,Lat,53.993477,,,,,,,
Station no,3332,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.23,2.63,1.98,3.03,3.37,1.74,5.45,1.64,2.55,1.64,,
February,7.85,1.33,1.08,4.51,4.19,2.76,2.58,2.28,3.32,1.77,,
March,0.96,2.86,1.64,5.35,2.31,3.58,2.60,3.01,4.95,4.08,,
April,2.03,3.28,1.02,2.08,2.64,2.92,1.11,2.43,2.84,3.38,,
May,1.70,1.34,1.65,4.10,3.67,0.58,3.17,4.36,2.88,2.00,,
June,3.49,1.41,1.19,1.89,2.42,1.92,1.02,5.91,1.11,2.64,,
July,3.21,1.52,2.58,4.49,1.71,1.11,1.87,2.22,5.16,4.36,,
August,5.44,1.69,3.20,5.50,3.86,3.85,3.97,2.71,2.93,3.20,,
September,0.87,1.17,1.43,5.16,1.25,2.32,0.79,0.83,3.77,2.30,,
October,4.97,2.15,3.95,9.41,1.20,2.41,6.15,7.48,2.17,2.87,,
November,4.83,5.32,2.70,2.39,4.65,5.40,4.79,2.31,2.24,1.40,,
December,4.21,5.01,3.09,2.39,2.14,1.29,3.41,4.96,1.87,5.12,,
Total,44.79,29.71,25.51,50.30,33.41,29.88,36.91,40.14,35.79,34.76,,
Calc annual,44.79,29.71,25.51,50.30,33.41,29.88,36.91,40.14,35.79,34.76,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
