"MARDALE (LOW RAISE)",,,,,,,,,,,,
Grid ref,NY454137,Long,-2.844912,Lat,54.515643,,,,,,,
Station no,3670,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.50,8.00,4.90,8.70,10.20,6.20,20.75,13.04,8.90,15.73,,
February,9.80,2.95,3.24,7.90,3.30,1.20,10.97,11.90,4.12,16.03,,
March,6.00,6.50,1.80,7.90,3.44,4.00,10.83,2.65,9.49,2.95,,
April,7.50,7.75,6.00,1.50,3.60,2.30,2.35,3.96,10.03,11.42,,
May,2.77,5.25,5.30,7.00,10.20,5.90,5.65,9.94,2.38,4.03,,
June,3.98,6.54,6.45,11.20,6.60,6.20,2.65,7.46,6.56,6.41,,
July,5.10,4.95,14.40,7.54,3.90,8.80,5.85,7.28,9.46,9.41,,
August,9.00,11.80,9.55,11.26,4.10,12.20,10.93,8.45,1.79,5.75,,
September,14.00,10.50,14.05,22.90,6.20,9.30,11.96,11.93,1.70,6.02,,
October,1.60,13.50,6.60,26.60,7.90,10.65,12.16,11.42,11.15,7.92,,
November,20.00,5.60,17.10,21.00,6.50,3.90,5.16,1.87,15.60,19.93,,
December,18.00,6.78,7.60,9.50,16.50,17.00,11.91,10.12,24.34,14.42,,
Total,106.25,90.12,96.99,143.00,82.44,87.65,111.17,100.02,105.52,120.02,,
Calc annual,106.25,90.12,96.99,143.00,82.44,87.65,111.17,100.02,105.52,120.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
