KESWICK SHU-LE-CROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY269234,Long,-3.133039,Lat,54.600464,Elevation,287,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,14.39,7.72,9.37,6,12.55,6.45,1.54,1.92,0.11,5.09,10.88,9.43,3.92,6.83,6.32,2.97,3.44,12.02,5.16,4.77,2.81,10.19,3.21,3.57,1.26,4.57,10.41,7.14,4.81,4.51,10.64,7.92,2.99,9.13,2.3,5.93,6.35,6.34,3.21,5.28,6.36,4.91,,,,,
February,,,,0.85,3.81,1.19,5.81,6.02,3.42,3.25,7.38,4.13,6.3,7.87,7.39,11.02,1.39,4.24,1.15,3.56,1.25,0.45,3.15,7.98,12.74,0.87,3.86,5.27,6.01,5.18,7.1,1.84,1.66,12.43,5.31,3.88,4.26,3.44,4.65,4.48,9.87,7.45,3.81,5.42,10.45,,,,,
March,,,,3.78,4.92,2.39,6.76,2.87,2.97,4.51,2.4,5.41,4.96,3.54,6.42,4.26,5.15,1.62,4.35,3.17,3.84,2.85,1.77,2.55,4.79,5.38,8.38,8.95,1.99,3.69,0.68,4.57,3.77,13.16,4.34,5.81,4.04,6.21,5.74,4.12,4.88,1.99,7.65,7.89,6.84,,,,,
April,,,,0.36,4.28,1.79,4.33,1.92,1.93,1.95,3.96,1.03,4.93,2.59,1.26,3.82,3.95,3.06,2.87,2.81,1.65,2.78,1.39,0.72,2.03,3.05,3.11,3.1,4.92,4.68,3.34,3.7,3.8,1.95,5.28,4.92,1.34,2.76,1.89,3.04,3.78,4.49,1.17,6.83,2.88,,,,,
May,,,,2.13,1.01,3.36,1,4.22,4.3,1.37,1.93,5.02,2.4,2.31,5.14,3.34,5.73,2.24,3.97,3.12,2.99,3.81,4.98,2.38,4.19,1.53,0.96,2.72,3.57,4.52,4.02,1.35,2.75,2.86,3.21,2.17,6.37,4.75,3.11,1.99,3.09,4.98,2.06,2.17,3.14,,,,,
June,,,,2.31,1.65,4.54,2.4,5.24,2.29,4.57,3.79,,5.01,3.68,1.11,1.78,1.39,0.43,1.23,0.81,4.95,1.39,4.25,3.58,3.36,0.86,4.36,4.8,3.46,0.81,4.78,2.95,1.11,1.36,2.11,2.96,1.82,6.6,2.95,3.31,2.02,6.52,6.03,4.72,2.04,,,,,
July,,,,7.09,2.36,4.52,0.8,4.11,1.39,6.84,5.47,,8.58,4.52,6.69,2.4,5.12,3.84,7.29,2.97,5.05,4.17,3.04,5.38,3.35,6.94,4.34,2.78,1.26,3.58,2.42,1.23,2.82,4.68,3.59,1.68,2.79,1.77,3.77,6.44,5.7,1.07,5.89,0.93,4.86,,,,,
August,,,,6.33,8.54,3.38,5.3,6.29,4.8,5.27,1.19,7.35,4.03,4.95,2.28,3.62,2.22,2.39,3.88,6.49,6.2,12.49,8.51,6.45,6.57,7.47,3.54,9.91,6.57,2.17,7.26,5.35,2.12,8.13,5.18,4.65,5.59,4.53,7.52,3.5,8.71,3.92,6.51,2.69,4.05,,,,,
September,,,,2.74,8.83,6.67,7.52,4.06,8.79,4.87,6.12,2.39,3.83,6.51,6.41,7.87,8.68,5.72,1.61,3.81,6.3,11.52,9.52,5.24,0.68,1.71,8.23,6.75,2.36,9.54,5.35,3.43,3.7,5.87,2.21,4.68,1.65,0.56,5.17,3.14,0.79,3.93,3,2.61,3.76,,,,,
October,,,,6.38,15.83,4.81,5.67,9.68,8.58,2.32,2.64,3.89,3.63,8.1,3.37,7.75,6.85,3.1,7.16,6.58,3.84,10.57,8.06,6.91,5.87,6.39,8.88,4.68,5.82,7.11,7.08,5.86,5.96,13.87,3.27,4.41,8.07,8.01,2.38,12.39,3.86,6.91,7.21,4.72,1.52,,,,,
November,,,,3.49,4.42,5.96,3.23,14.94,3.41,1.71,9.47,8.48,9.35,8.31,2.41,3.4,6.04,4.19,10.23,2.98,12.62,7.09,5.27,5.17,11.06,8.15,1.95,7.41,7.52,11.19,4.96,6.9,3.92,4.45,4.5,6.03,4.77,5.36,5.01,3.12,4.55,8.74,6.99,7.28,10.09,,,,,
