ARDRISHAIG (STRONACHULLIN),,,,,,,,,,,,
Grid ref,NR850799,Long,-5.446326,Lat,55.963834,,,,,,,
Station no,5421/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.71,9.94,5.16,7.95,4.96,7.21,12.11,10.98,2.60,5.13,,
February,4.36,5.04,4.47,7.02,7.50,2.63,4.15,5.30,2.86,6.22,,
March,5.61,5.63,2.66,7.95,2.13,3.52,9.23,1.78,5.09,2.79,,
April,4.25,3.47,4.61,2.54,6.13,3.19,2.43,3.56,5.49,6.01,,
May,1.55,2.24,3.81,5.51,4.92,4.24,1.98,4.09,1.51,3.00,,
June,2.47,5.00,2.15,6.58,4.66,4.53,3.18,3.53,4.63,3.30,,
July,4.65,5.96,7.30,5.77,2.11,6.21,6.39,5.23,9.44,6.35,,
August,5.66,7.14,5.60,6.21,2.37,8.89,8.05,8.69,1.86,4.56,,
September,5.32,5.42,11.44,15.45,8.31,6.54,6.35,5.89,2.90,4.09,,
October,3.03,8.59,6.39,10.68,7.83,7.17,8.95,7.81,9.54,3.95,,
November,11.52,3.59,13.94,14.06,3.33,5.43,4.03,3.44,7.80,10.56,,
December,14.36,8.34,7.76,14.08,11.30,12.02,8.15,8.96,12.30,11.34,,
Total,71.49,70.36,75.29,103.80,65.55,71.58,75.00,69.26,66.02,67.30,,
Calc annual,71.49,70.36,75.29,103.80,65.55,71.58,75.00,69.26,66.02,67.30,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
