LEATHERHEAD-DOWNSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ110580,Long,-0.40886,Lat,51.310299,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,2.05,1.37,0.1,1.47,2.6,2.03,0.72,2.19,0.82,3.07,3.69,1.47,0.98,2.58,4.45,1.32,4.59,0.88,1.71,1.15,2.33,1.43,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,0.86,0.19,0.68,3.09,1.74,0.19,0.29,3.06,1.23,2.88,5.74,1.56,1.21,1.92,3.36,0.83,2.08,1.44,1.06,0.69,4.2,1.39,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,2.23,1.66,0.87,0.59,1.44,1.51,3.33,4.78,1.44,0.66,1,2.45,1.88,3.25,1.84,3.74,1.55,0.86,3.28,4.27,1.37,1.86,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,1.98,0.63,0.73,0.11,1.51,1.36,0.71,1.48,1.02,2.82,1.01,2.08,1.03,2.08,1.23,1.63,0.4,3.95,2.58,2.07,1.66,2.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,1.53,2.29,0.95,0.43,1.56,0.45,0.28,1.66,3.75,1.73,1.26,0.41,2.06,3.15,2.33,0.83,1.24,1.91,2.22,1.58,1.82,1.81,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,1.8,1.2,1.74,1.13,2.05,0.25,3.24,2.53,1.79,1.22,2.13,1.7,4.12,6.38,1.19,5.08,2.59,2.09,2.46,3.59,1.93,2.22,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,4.44,3.55,2.23,2.47,3.62,3.62,1.65,1.37,0.5,0.9,1.14,1.74,1.54,5.45,0.97,1.57,0.35,1.7,2.45,2.73,2.61,0.71,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.33,1.69,3.3,2.8,0.32,3.25,2.6,2.03,2.68,0.93,0.61,2.67,1.77,2.78,5.78,1.74,2.45,0.48,2.38,3.81,2.32,2.9,0.54,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.47,0.38,1.19,1.65,1.23,1.65,0.56,7.1,2.48,0.64,2.36,0.98,2.12,0.96,3.52,1.41,2.2,1.74,0.54,1.24,4.19,0.79,1.21,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.41,1.04,6.12,4.15,4.34,4.84,2.96,3.53,0.63,3.46,2.38,2.04,2.3,1.77,7.2,2.13,1.27,3.55,5.05,2.14,5.11,3.49,3.5,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,0.92,1.65,2.54,3.38,0.9,4.55,4.78,1.67,1.17,3.9,5.18,2.19,0.69,2.78,2.2,1.51,4.31,4.53,2.53,0.81,0.82,3.51,4.1,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,0.78,0.98,4.03,1.44,2.2,1.82,2.49,4.12,3.93,3.29,1.67,3.02,5.14,1.45,2.46,2.69,0.68,2.06,3.82,2.66,3.82,4.91,7.63,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,20.63,28.07,20.72,18.28,30.63,22.8,28.67,27.96,22.77,25.48,26.87,23.43,22.56,45.97,24.85,25.91,25.16,27.15,26.42,32.34,31.52,28.46,33.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
