WICK  COASTGUARD STN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ND374498,Long,-3.073699,Lat,58.432019,Elevation,77,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941
January,,,,,,3.89,1.73,1.92,1.65,1.27,1.35,2.21,2.25,2.44,3.68,1.83,4.03,2.15,1.95,1.78,2.01,1.57,4.33,3.13,3.08,3.67,2.39,3.18,0.88,3.2,2.2,2.86,2.82,2.9,1.5,2.3,1.78,3.57,2.38,2.85,2.14,1.89,1.59,1.32,1.9,2.32,2.99,3.72,1.84,3.21,3.34,2.82,3.27,3.97,1.95,1.56,2.22,2.46,4.7,1.28,2.01,3.13,3.41,1.76,1.84,3.57,4.06,3.9,3.54,3.69,1.43,1.17
February,,,,,,1.34,3.38,3.17,1.45,0.8,1.4,3.58,1.29,1.88,0.94,1.93,1.71,1.33,2.48,4.05,1.21,2.5,3.01,2.59,3.63,1.98,0.91,0.63,1.87,1.34,2.57,3.21,1.42,2.68,1.83,3.67,4.52,2.89,3.32,1.54,1.73,2.75,2.39,1.16,2.6,2.52,1.34,0.74,2.31,1.49,2.37,1.13,1.8,2.44,2.25,3.04,2.1,1.98,1.69,0.67,1.22,2.88,0.54,3.46,1.66,2.57,1.48,3.47,2.05,1.25,0.71,2.72
March,,,,,,0.75,4.03,1.86,2.96,2.47,1.38,2.65,2.66,3.06,2.65,1.49,1.64,0.83,2.82,2.85,2.97,3.42,0.97,1.32,1.39,2.37,3.29,2.61,0.89,3.05,2.14,2.09,1.81,1.37,1.4,3.23,2.45,2.09,3.61,1.82,1.43,1.77,2.98,3.18,3.02,2.05,2.09,2.1,1.41,1.87,3.17,1.6,1.68,0.72,1.57,2.31,2.78,1.61,1.69,0.88,1.6,1.17,2.05,1.87,2.1,1.93,1.37,1.96,2.11,1.95,1.78,1.51
April,,,,,,2.08,2.81,1.79,0.49,1.31,1.26,1.4,1.92,1.24,0.67,1.01,1.57,1.63,2.78,2.61,2.12,1.19,2.08,0.96,0.47,2.39,2.02,1.12,1.23,2.24,1.97,3,1.4,2.96,3.86,3.37,2.39,2.22,2.14,2.5,4.42,1.76,2.25,1.43,1.1,2.32,1.69,2.25,1.22,2.02,2.01,1.03,3.41,2.74,1.03,1.65,2.71,4.21,1.6,1.69,2.12,1.82,2.97,1.35,5.29,2.86,1.28,1.15,1.56,0.99,2.92,1.44
May,,,,,,1.65,1.12,3.77,1.28,1.88,1.44,2.11,1.55,2.44,2.04,1.97,2.94,1.11,2.58,0.77,2.27,2.6,2.44,1.39,3.81,0.65,2,1.5,2.57,2.11,2.66,1.57,1.81,1.6,1.68,1.13,4.28,1.44,2.75,2.51,2.1,2.02,3.51,1.7,2.4,0.51,3.05,0.8,1.41,0.63,2.87,1.7,1.83,3.67,2.3,2.11,1.89,2.07,1.48,1.94,1.51,4.91,1.4,0.72,1.76,0.56,1.96,0.69,2.61,0.78,1.74,0.91
June,,,,,,2.11,1.28,3.16,0.92,0.97,1.53,2.53,3.68,1.41,1.71,1.76,1.44,1.27,1.45,1.03,2.73,1.83,1.85,1.09,1.27,3.05,3.26,1.11,1.37,1.15,1.57,2.61,1.83,1.3,1.35,1.14,0.6,4.12,2,2.67,0.94,3.19,0.9,2.04,0.84,0.87,3.39,3.09,1.62,2.87,0.78,1.12,1.81,2.26,1.44,1.36,1.54,2.89,3.11,3.81,3.19,2.87,0.65,1.46,1.06,0.92,1.11,2.77,3.51,1.23,1,0.5
July,,,,,,2.64,2.24,3.17,2.15,3.14,2.33,3.26,3.61,2,1.6,1.69,2.51,3.4,2.16,2.02,3.41,3.84,2.89,3.61,4.38,2.56,4.16,1.2,1.6,2.1,4.2,1.64,3.55,4.76,1.26,2.25,2.4,1.32,1.63,2.79,2.49,2.44,2.19,0.95,3.62,2.52,1.3,1.37,5.52,0.76,1.88,2.42,3.16,2.75,3.85,3.05,1.56,1.28,2.17,1.31,1.36,2.93,3,2.21,2.3,2.61,4.77,1.96,3.46,4.66,4.51,1.98
August,,,,,,2.78,2.94,2.87,1.48,3.14,0.28,1.84,2.14,2.3,3.01,1.2,2.21,1.79,4.04,5.49,3.65,4.51,2.82,2.01,3.55,3.19,2.28,2.17,2.94,1.36,2.29,3.85,2.21,4.34,3.3,3.03,2.12,3.61,2.04,2.85,4.02,1.23,4.97,1.27,1.6,0.87,1.22,2.49,5,3.4,0.95,1.86,2.05,3.6,2.3,1.85,2.02,2,2.01,4.79,5.57,1.07,2.72,2.57,4.09,2.93,2.53,3.09,2.37,1.59,2.53,4.13
September,,,,,,2.6,3.25,1.38,3.13,1.7,3.61,1.59,2.55,2.69,1.11,3.35,1.47,2.13,1.45,2.36,2.73,2.06,2.3,4.72,0.78,2.03,4.49,3.02,3.36,5.32,3.19,0.71,2.38,2.71,2.65,3.12,1.73,1.13,4.74,2.2,1.31,2.36,0.96,2.9,2.32,3.39,1.26,3.22,4.01,3.81,2.44,3.18,2.82,3.34,4.07,3.46,3,3.28,2.39,3.52,3.87,0.94,3.82,1.17,2.3,4.09,2.74,1.75,2.93,1.59,2.27,
October,,,,,,3.09,3.81,2.63,1.89,2.28,3.29,2.94,2.41,2.71,3.63,2.81,1.66,2.38,3.95,4.04,4.77,1.86,5.14,4.86,3.07,3.81,3.86,2.01,3.12,1.95,3.48,3.83,2.41,4.39,2.27,4.66,3.14,3.27,1.33,3.14,1.7,1.72,2.39,1.94,1.92,1.06,3.7,4.95,1.87,2.78,0.61,2.32,1.53,4.42,2.35,2.91,6.24,4,2.53,4.41,3.64,2.93,4.93,3.89,4.89,4.56,3.46,2.51,4.45,1.56,2.26,
