WEST ROUNTON RECTORY,,,,,,,,
Grid ref,NZ414034,Long,-1.363,Lat,54.424,Elevation,200,ft
Station no,RR6540,,,,,,,
,,,,,,,,
,1918,1919,1920,1921,1922,1923,1924,
January,,2.05,2.97,2.60,2.15,0.90,1.50,
February,,0.92,0.79,0.14,1.80,2.84,1.17,
March,,2.15,2.34,0.92,1.67,1.06,0.98,
April,1.34,1.34,2.83,1.02,1.96,1.65,1.94,
May,1.58,0.94,2.36,1.39,1.69,2.57,3.98,
June,0.46,1.13,1.06,0.51,1.80,0.79,2.52,
July,3.87,1.96,4.63,1.53,4.36,2.25,2.40,
August,2.70,2.65,1.65,3.20,2.50,2.81,3.22,
September,4.58,0.80,1.40,0.91,2.32,1.74,1.29,
October,2.79,5.44,1.47,1.06,1.54,2.50,3.62,
November,0.89,2.43,0.89,1.87,0.65,3.39,0.63,
December,3.09,2.58,1.78,1.80,2.74,2.09,2.44,
Total,,24.39,24.17,16.95,25.18,24.59,25.69,
,,,,,,,,
TYRain_1910-1919_20_pt1/237,,,,,,,,
TYRain_1920-1930_23_pt1/209,,,,,,,,
