"AYR (CEMETERY)",,,,,,,,,,,,
Grid ref,NS348211,Long,-4.614014,Lat,55.455788,,,,,,,
Station no,5254,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,4.74,2.06,3.53,2.58,2.50,3.92,3.97,1.26,3.92,,
February,2.60,1.35,0.97,2.96,1.38,0.83,1.87,3.26,1.45,2.96,,
March,2.36,1.47,0.60,2.19,1.39,1.32,3.40,0.82,2.08,1.88,,
April,2.18,1.19,1.07,0.93,2.15,0.93,1.98,1.17,1.53,2.07,,
May,1.77,1.41,1.63,1.96,2.94,1.72,1.68,2.67,1.14,1.44,,
June,1.52,2.54,0.57,2.67,2.14,1.86,1.61,3.31,3.21,1.67,,
July,1.92,2.56,4.84,-999.00,1.65,3.68,4.02,4.44,4.38,2.66,,
August,3.65,5.01,2.70,3.49,1.65,5.90,4.58,5.76,0.58,3.40,,
September,2.38,2.66,3.22,4.69,3.54,3.35,3.28,3.17,1.50,2.68,,
October,0.72,2.74,2.94,7.67,1.92,2.96,4.01,3.61,4.69,2.89,,
November,4.58,2.12,4.68,4.70,1.81,0.98,1.83,1.47,3.90,4.36,,
December,5.65,3.44,4.02,4.17,4.00,3.75,2.53,3.21,4.60,4.61,,
Total,32.72,31.23,29.30,42.33,27.15,29.78,34.71,36.86,30.32,34.54,,
Calc annual,32.72,31.23,29.30,38.96,27.15,29.78,34.71,36.86,30.32,34.54,,
Difference,0.00,-0.00,0.00,3.37,-0.00,-0.00,0.00,0.00,0.00,0.00,,
