RAME RECTORY (PLYMOUTH),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6356,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.95,1.52,2.21,3.54,3.35,,,,,,,
February,3.13,3.57,2.15,4.84,4.51,,,,,,,
March,1.96,3.97,1.20,1.24,3.81,,,,,,,
April,2.03,1.24,5.72,1.01,1.74,,,,,,,
May,1.12,0.92,0.60,2.15,1.08,,,,,,,
June,1.36,3.76,3.91,2.47,0.97,,,,,,,
July,3.57,2.14,3.86,2.06,3.11,,,,,,,
August,0.82,3.26,2.53,1.21,1.26,,,,,,,
September,3.78,2.75,3.98,5.13,2.37,,,,,,,
October,5.43,2.28,6.10,3.06,1.31,,,,,,,
November,3.14,5.33,4.37,4.69,1.73,,,,,,,
December,4.54,3.95,5.43,0.99,3.49,,,,,,,
Total,31.83,34.69,42.06,32.39,28.73,,,,,,,
Calc annual,31.83,34.69,42.06,32.39,28.73,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
