NEWPORT-PAGNELL-WOLVERTON-ROAD (LATHBURY),,,,,,,,,,,,,,,,,,,,,
Grid ref,SP876441,Long,-0.72193,Lat,52.08906,Elevation,190,ft,,,,,,,,,,,,,
Station no,1028,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,2.58,1.07,,,,,,,,,
February,,,,,,,,,,,0.6,2.12,,,,,,,,,
March,,,,,,,,,,,1.36,0,,,,,,,,,
April,,,,,,,,,,,1.74,3.35,,,,,,,,,
May,,,,,,,,,,,2.52,2.74,,,,,,,,,
June,,,,,,,,,,,0.97,2.48,,,,,,,,,
July,,,,,,,,,,,1.9,2.15,,,,,,,,,
August,,,,,,,,,,0.51,1.74,3.17,,,,,,,,,
September,,,,,,,,,,0.41,3.53,,,,,,,,,,
October,,,,,,,,,,2.88,1.29,,,,,,,,,,
November,,,,,,,,,,5.25,3.24,,,,,,,,,,
December,,,,,,,,,,4.25,2.78,,,,,,,,,,
Total,,,,,,,,,,,24.25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1931 Sep,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Note: TYR states elevation of 220ft but OS map shows location closer to 190ft,,,,,,,,,,,,,,,,,,,,,
