ELTHAM-VICTORIA-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ436741,Long,0.065068136,Lat,51.447687,Elevation,205,ft,,,,,,,,,,,,
Station no,RR8319,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.61,1.82,1.48,,1.23,0.86,0.94,2.25,1.7,,,,,,,,
February,,,,2.87,1.41,2.79,,0.56,0.92,2.43,0.91,0,,,,,,,,
March,,,,0.74,1.24,1.62,,1.57,2.4,1.78,2.47,2.47,,,,,,,,
April,,,,1.45,1.5,2.12,,1.72,1.64,2.26,2,0.78,,,,,,,,
May,,,,,0.71,2.33,,1.82,0.62,3.55,1.51,2.99,,,,,,,,
June,,,,,1.91,1.24,,1.33,3.37,2.7,2.88,1.14,,,,,,,,
July,,,2.28,2.08,1.71,0.26,,0.62,6.74,3.29,3.65,3.73,,,,,,,,
August,,,,0.53,0.62,1.26,,2.59,3.42,2.15,2.29,3.83,,,,,,,,
September,,,3.23,3.86,2.33,3.98,,2.16,0.86,1.86,0.47,,,,,,,,,
October,,,,1.92,1.04,3.42,,1.61,1.52,4.13,1.28,,,,,,,,,
November,,,,2.64,0.77,2.85,,4.48,4.28,1.01,2.09,,,,,,,,,
December,,,1.92,0.97,2.68,1.15,,1.54,1.12,1.36,1.08,,,,,,,,,
Total,,,,,17.74,24.5,,21.23,27.75,27.46,22.88,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1883 May Jun values removed as crossed through on TYR,,,,,,,,,,,,,,,,,,,,
"1887 small elevation change, NGR the same",,,,,,,,,,,,,,,,,,,,
