MOUSWALD (IRONHURST MOSS),,,,,,,,,,,,,,,,,,,,
Grid ref,NY043716,Long,-3.4987019,Lat,55.029684,Elevation,42,ft,,,,,,,,,,,,
Station no,5026/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,5.9,,,1.11,5.3,6.76,3.49,,,,,,
February,,,,,,,,2.59,,2.01,4.96,1.75,3.07,0.72,,,,,,
March,,,,,,,,2.45,,5.55,3.72,3.35,1.35,0.26,,,,,,
April,,,,,,,,0.31,,2.48,2.01,2.54,2.64,2.16,,,,,,
May,,,,,,,,4.1,,0.97,3.61,4.81,5.41,,,,,,,
June,,,,,,,,4.5,,0.99,0.5,0.64,4.73,,,,,,,
July,,,,,,,3.52,6.06,,7.17,4.09,3.18,3.25,,,,,,,
August,,,,,,,1.99,1.58,,1,5.2,4.96,5.82,,,,,,,
September,,,,,,,3.41,3.13,,3.83,2.03,5.41,3.58,,,,,,,
October,,,,,,,5.22,7.02,,4.06,5.81,4.15,7.53,,,,,,,
November,,,,,,,0.92,7.8,,5.53,3.65,1.29,2.82,,,,,,,
December,,,,,,,3.55,3.47,,5.32,1.8,6.7,1.74,,,,,,,
Total,,,,,,,,48.91,,,38.49,44.08,48.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1940 Jan estimated, removed along with total",,,,,,,,,,,,,,,,,,,,
1942 and 1943 totals noted as being 'printed with quey',,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Old OS maps have elevation as on record; modern DTMs suggest 79' - left as on OS,,,,,,,,,,,,,,,,,,,,
