WELLS-HIGH-ST-(ROOF),,,,,,,,,,,,,,,,,,,,
Grid ref,ST548457,Long,-2.64744,Lat,51.20897,Elevation,139,ft,,,,,,,,,,,,
Station no,RR7945,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.88,0.88,1.57,2.86,3.46,2.69,4.9,3.03,1.57,0.77,2.84,2.31,1.74,2.39,2.45,,,,,
February,3.26,3.26,1.77,4.18,2.07,3.43,0.68,0.66,1.41,2.33,0.99,0.01,1.74,3.33,3.68,,,,,
March,1.48,1.48,1.92,1.13,2.71,1.13,2.31,2.11,2.95,3.32,1.51,2.62,0.69,0.6,2.15,,,,,
April,1.36,1.36,4.41,1.08,2.1,3.31,3.07,1.42,2.52,2.99,2.63,0.87,1.43,0.15,2.16,,,,,
May,1.16,1.16,1.74,1.3,1.71,2.76,4.28,2.01,0.96,2.83,1.25,2.95,1.07,1.15,3.06,,,,,
June,2.6,2.6,4.21,3.09,3.77,1.08,1.04,0.68,2.85,0.74,4.44,1.18,2.95,1.41,2.32,,,,,
July,7.85,7.85,9.88,3.89,4.45,0.56,2.86,1.92,6.76,3.41,5.06,3.77,3.46,5.21,4.79,,,,,
August,1.22,1.22,4.47,2.26,2.74,2.22,2.21,1.95,1.74,5.34,3.02,6.74,3.95,2.1,4.37,,,,,
September,4.25,4.25,3.82,5.43,3.59,6.08,2.45,3.08,1.4,1.36,1.47,2.56,3.64,2.84,2.11,,,,,
October,3.76,3.76,5.7,4.67,1.02,6.41,4.74,2.92,1.64,4.14,3.14,7.95,2.76,3.56,3.83,,,,,
November,2.92,2.92,4.1,4.77,1.99,4.73,6.22,2.86,5.99,1.5,2.76,3.3,2.74,2.83,5.63,,,,,
December,4.12,4.12,4.77,1.64,4.18,1.86,5.58,2.8,3.43,2.45,1.75,4.56,1.93,3.28,3.57,,,,,
Total,34.86,34.86,48.36,36.3,33.79,36.26,40.34,25.44,33.22,31.18,30.86,38.82,28.1,28.85,40.12,,,,,
,,,,,,,,,,,,,,,,,,,,
27 High St Wells,,,,,,,,,,,,,,,,,,,,
This gauge was 44ft above ground,,,,,,,,,,,,,,,,,,,,
