WELLS-HIGH-ST-(GARDEN),,,,,,,,,,,,,,,,,,,,
Grid ref,ST548457,Long,-2.64744,Lat,51.20897,Elevation,139,ft,,,,,,,,,,,,
Station no,RR7946,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.97,1.55,0.79,2.81,2.27,1.68,2.56,2.53,,,,,
February,,,,,,,,0.65,1.38,2.31,1.03,0.01,1.82,3.32,3.81,,,,,
March,,,,,,,,2.11,2.99,3.37,1.44,2.55,0.68,0.6,2.21,,,,,
April,,,,,,,,1.38,2.53,2.97,2.62,0.83,1.36,0.13,2.13,,,,,
May,,,,,,,,1.99,0.95,2.86,1.24,2.93,1.03,1.16,3.06,,,,,
June,,,,,,,,0.64,2.85,0.75,4.29,1.18,2.89,1.44,2.22,,,,,
July,,,,,,,2.86,1.9,6.74,3.4,4.92,3.67,3.61,5.21,4.88,,,,,
August,,,,,,,2.13,2.01,1.72,5.29,2.99,6.81,4.05,1.92,4.33,,,,,
September,,,,,,,2.5,3.12,1.39,1.35,1.51,2.47,3.59,2.9,2.15,,,,,
October,,,,,,,4.72,2.96,1.65,4.17,2.99,8.08,2.84,3.53,3.9,,,,,
November,,,,,,,6.13,2.88,6.02,1.52,2.64,3.49,2.78,2.86,5.75,,,,,
December,,,,,,,5.35,2.82,3.5,2.45,1.77,4.38,1.91,3.39,3.62,,,,,
Total,,,,,,,,25.43,33.27,31.23,30.25,38.67,28.24,29.02,40.59,,,,,
,,,,,,,,,,,,,,,,,,,,
27 High St Wells,,,,,,,,,,,,,,,,,,,,
This gauge was in the garden about 1ft above ground,,,,,,,,,,,,,,,,,,,,
