HAWKRIDGE-LISCOMBE,,,,,,,,,,
Grid ref,SS877328,Long,-3.60404,Lat,51.08403,Elevation,1030,ft,,
Station no,2111/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.16,5.5
February,,,,,,,,,0.34,5.85
March,,,,,,,,,4.77,3.31
April,,,,,,,,,5.02,3.56
May,,,,,,,,,1.52,2.98
June,,,,,,,,,2.82,2.53
July,,,,,,,,,4.89,8.12
August,,,,,,,,,4.9,6.23
September,,,,,,,,,0.51,5.41
October,,,,,,,,5.4,7.11,11.53
November,,,,,,,,3.96,8.07,8.21
December,,,,,,,,6.68,12.81,11.04
Total,,,,,,,,,59.92,74.27
,,,,,,,,,,
Location taken from MIDAS and altitude,,,,,,,,,,
1956 Nov 16 Inspection Site on slight slope Turf wall round gauge recommended,,,,,,,,,,
1958 Sept 8 Station Commenced,,,,,,,,,,
1960 Nov 20 Inspection Satisfactorily exposed Slopes to S,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as HAWKRIDGE SRC_ID 1284,,,,,,,,,,
1958-1992,,,,,,,,,,
