CHAGFORD-METHERALL- (NEW GAUGE),,,,,,,,,,
Grid ref,SX672843,Long,-3.879562,Lat,50.643212,Elevation,1155,ft,,
Station no,1747/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,11.46,9.17,12.41,7.96
February,,,,,,,12.96,9.27,0.55,10.44
March,,,,,,,8.1,3,8.91,6.15
April,,,,,,,0.6,2.33,8.3,6.22
May,,,,,,,3.98,7.02,2.57,3.2
June,,,,,,,3,4.99,2.23,2.73
July,,,,,,,6.49,4.83,2.06,7.1
August,,,,,,,6.22,7.37,2.45,6.75
September,,,,,,,7.46,9.03,0.93,9.97
October,,,,,,,5.13,6.53,9,14.85
November,,,,,,,4.18,5.16,13.77,14
December,,,,,,,7.4,7.56,19.94,10.88
Total,,,,,,,76.98,76.26,83.12,100.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
New gauge has 1 year overlap with old gauge,,,,,,,,,,
