BRIGHTON-CAMBRIDGE-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ298046,Long,-0.1584231,Lat,50.826397,Elevation,111,ft,,,,,,,,,,,,
Station no,RR3157,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,2.38,1.15,4.36,3.8,2.92,3.63,2.64,1.67,3.07,5.19,2.77,2.26,3.93,0.9,6.43,1.74,
February,,,,0.9,1.39,2.35,3.76,2.05,0.93,2.55,1.93,1.78,2.41,2.13,1.49,1.96,3.35,1.81,2,
March,,,,1.01,3.36,1.22,1.66,2.5,1.26,1.87,2.01,1.02,2.16,2.05,0.65,0.82,2.94,2.49,1.41,
April,,,,0.67,0.74,0.46,1.21,1.5,2.3,1.28,0.38,4.07,0.93,0.89,1.91,1.22,2.11,2.26,3,
May,,,,1.95,1.37,3.33,0.67,2.39,1.51,4.18,0.97,-999,3,0.47,0.46,1.16,1,2.09,3.82,
June,,,,3.62,-999,0.73,1.95,1.44,0.77,1.19,0.23,-999,2.6,2.62,1.99,2.92,-999,1.3,1.19,
July,,,,1.44,-999,2.36,1.87,3,1.18,0.16,0.96,-999,1.34,1.7,1.54,3.11,-999,2.42,1.13,
August,,,0.52,,-999,3.42,,-999,3.37,1.48,2.42,-999,1.81,0.82,2.2,1.46,-999,3,4.14,
September,,,2.68,,3.36,0.3,7.63,-999,2.23,3.9,2.55,3.07,2.19,4.85,3.58,1.64,-999,0.92,1.26,
October,,,4.19,3.09,1.4,8.66,1.7,3.06,2.87,1.85,5.27,1.79,4.92,4.67,3.34,4.36,0.67,3.7,4.02,
November,,,0.9,1.67,4.12,2.55,2.03,1.86,1.28,2.5,2.32,0.61,6.42,2.56,2.63,5.26,3.14,6.87,3.4,
December,,,2.71,2.5,0.24,2.53,2.2,1.53,6.75,3.13,3.69,1.88,5.27,0.75,2.45,1,7.01,2.77,1.97,
Total,,,,,,32.27,,,28.08,26.73,24.4,24.3,38.24,26.28,24.5,28.84,32.75,36.06,29.08,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1865 total fixed,,,,,,,,,,,,,,,,,,,,
1864 Jul Aug -999 (value=1.83),,,,,,,,,,,,,,,,,,,,
1867 Aug Sep -999 (value=3.83),,,,,,,,,,,,,,,,,,,,
1868 Oct IDR,,,,,,,,,,,,,,,,,,,,
1871 May-Jul -999 (value=6.66),,,,,,,,,,,,,,,,,,,,
1876 Jun-Sep -999 (vale=11.63),,,,,,,,,,,,,,,,,,,,
