LOCH LUICHART (EAST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH390575,Long,-4.69423,Lat,57.578767,Elevation,165,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5773/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.95,9.23,4.6,0.81,2.61,3.03,2.55,7.21,5.41,4.59,3.54,5.59,9.02,5.84,4.15,5.58,3.96,4.25,3.59,4.44,6.66,4.13,4.55,5.48
February,,,,,,,5.43,5.1,5.62,1.55,3.63,2.9,6.19,3.54,5.22,6.51,0.77,4.68,6.81,4.62,3.42,3.28,2.71,3.46,3.77,3.06,3.26,4.34,1.66,3.28
March,,,,,,,3.32,5.31,4.31,2.51,2.75,0.7,3.7,3.42,3.06,2.03,2.01,3.86,3.63,2.41,2.91,2.4,2.21,2.32,1.47,2.57,2.93,2.44,2.5,0.59
April,,,,,,,0.61,1.37,2.74,3.45,1.5,2.23,4.43,2.1,2.86,2.77,7.22,3.5,4.35,6.99,4.77,1.57,2.98,2.32,1.19,2.76,1.04,2.56,5.29,3.58
May,,,,,,,1.74,2.59,0.62,2.09,2.37,2.58,2.84,3.69,2.14,1.32,1.46,2.98,2.02,2.22,1.24,2.49,3.03,3.75,2.2,3.29,1.57,4.65,1.96,1.11
June,,,,,,,1.77,3.51,1.45,1.12,0.57,2.2,1.85,4.22,3.62,4.49,3.03,2.54,1.52,2.76,1.61,2.67,2.42,2.09,1.22,1.57,2.43,2.77,2.72,2.71
July,,,,,,,2.35,5.03,6.36,7.06,2.34,2.56,2.95,1.2,2.86,4.51,3.15,1.92,1.7,3.92,3.8,1.83,2.79,2.99,0.61,3.8,5.85,1.97,3.86,2.48
August,,,,,,,2.44,2.22,1.46,1.84,4.46,3.05,3.61,2.15,1.77,2.66,0.41,4.25,4.46,5.13,3.9,3.42,2.31,1.87,0.35,6.23,4.59,3.76,2.21,5.73
September,,,,,,3.32,2.71,2.85,1.58,3.17,0.95,4.11,2.76,4.35,4.99,6.37,5.23,3.47,1.59,8.31,2.04,3.25,3.26,4.58,3.91,3.94,3.37,3.41,1.04,2.34
October,,,,,,6.05,2.24,7.17,1.82,4.28,5.69,6.87,4.82,4.89,4.02,0.66,1.95,5.22,2.14,4.59,1.63,5.29,0.84,6.38,4.92,5.43,4.39,5.58,4.8,2.97
November,,,,,,3.43,0.94,6.07,6.34,7,4.51,1.77,5.36,5.09,0.45,4.54,8.17,4.32,3.8,4.43,7.03,3.62,5.89,4.61,1.72,5.34,2.25,1.45,4.35,2.22
December,,,,,,9.57,0.95,4.38,2.53,5.11,5.5,4.75,3.13,5.64,4.59,3.38,4.33,6.51,12.73,3.54,9.32,4.67,4.14,11.71,8.98,6.3,7.52,5.04,3.86,5.39
Total,,,,,,,30.45,54.83,39.43,39.99,36.88,36.75,44.19,47.5,40.99,43.83,41.27,48.84,53.77,54.76,45.82,40.07,36.54,50.33,33.93,48.73,45.86,42.1,38.8,37.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 figures Transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
