"LOCH LUICHART (EAST)",,,,,,,,,,,,
Grid ref,NH390575,Long,-4.694230,Lat,57.578767,,,,,,,
Station no,5773/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.15,5.58,3.96,4.25,3.59,4.44,6.66,4.13,4.55,5.48,,
February,3.42,3.28,2.71,3.46,3.77,3.06,3.26,4.34,1.66,3.28,,
March,2.91,2.40,2.21,2.32,1.47,2.57,2.93,2.44,2.50,0.59,,
April,4.77,1.57,2.98,2.32,1.19,2.76,1.04,2.56,5.29,3.58,,
May,1.24,2.49,3.03,3.75,2.20,3.29,1.57,4.65,1.96,1.11,,
June,1.61,2.67,2.42,2.09,1.22,1.57,2.43,2.77,2.72,2.71,,
July,3.80,1.83,2.79,2.99,0.61,3.80,5.85,1.97,3.86,2.48,,
August,3.90,3.42,2.31,1.87,0.35,6.23,4.59,3.76,2.21,5.73,,
September,2.04,3.25,3.26,4.58,3.91,3.94,3.37,3.41,1.04,2.34,,
October,1.63,5.29,0.84,6.38,4.92,5.43,4.39,5.58,4.80,2.97,,
November,7.03,3.62,5.89,4.61,1.72,5.34,2.25,1.45,4.35,2.22,,
December,9.32,4.67,4.14,11.71,8.98,6.30,7.52,5.04,3.86,5.39,,
Total,45.82,40.07,36.54,50.33,33.93,48.73,45.86,42.10,38.80,37.88,,
Calc annual,45.82,40.07,36.54,50.33,33.93,48.73,45.86,42.10,38.80,37.88,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
