LOCHLUICHART (WEST),,,,,,,,,,,,,,,,,,,,
Grid ref,NH 33018 63296,Long,-4.798128,Lat,57.628594,Elevation,325,ft,,,,,,,,,,,,
Station no,5773/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.92,8.12,4.48,0.89,2.8,3.86,4.24,11.36,5,4.76,3.6,,,
February,,,,,,,4.95,5.85,5.23,1.12,3.38,1.25,9.23,4.02,6.3,7.47,0.27,,,
March,,,,,,,2.37,7.49,5.08,1.82,2.84,1.3,5.37,3.89,4.21,1.85,2.15,,,
April,,,,,,,0.74,2.07,3.33,3.8,2.07,1.86,6.09,2.61,3.11,3.29,6.13,,,
May,,,,,,,1.64,2.42,0.45,2.19,2.21,1.79,3.39,3.4,2.33,1.14,2.06,,,
June,,,,,,,2.31,4.04,1.14,1.38,0.56,2.29,1.99,5.58,3.94,4.61,2.55,3.79,,
July,,,,,,,1.77,5.31,6.59,6.33,2.84,2.27,2.4,0.48,2.4,4.82,2.71,,,
August,,,,,,,2.68,2.78,1.88,3.31,5.43,3.67,5.29,2.66,1.5,3.19,,,,
September,,,,,,3.39,3.2,3.55,1.47,3.87,1.09,4.9,3.73,3.77,6.58,5.9,,,,
October,,,,,,7.72,2.21,8.63,1.98,4.8,6.46,9.37,6.86,6.55,3.4,0.83,,,,
November,,,,,,3.64,1.13,7.04,6.53,6.52,4.59,1.78,7.07,6.06,0.65,4.28,,,,
December,,,,,,10.13,0.88,4.21,2.43,5.68,5.56,5.57,3.33,9.95,4.42,3.47,,,,
Total,,,,,,,30.8,61.51,40.59,41.71,39.83,39.91,58.99,60.33,43.84,45.61,,,,
