CARRICKFERGUS COPELAND (new daily),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW571437,Long,-5.773548,Lat,54.730303,Elevation,424,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.47,2.5,2.35,3.88,3.1,2.39,1.58,2.38,4.73,4.52,2.91,2.21,4.73,3,1.24,6.4,1.84,3.44,1.5,2.34,1.27,3.25,5.1,2,2.65,2.91,2.16,2.78,4.07,4.44,4.65,2.28,2.95,4.13,2.22,3.95,3.1,6.22,2.26,3.95,3.02,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.23,1,3.79,3.99,1.01,2.15,3.1,3.48,3.18,3.76,1.56,2.25,2.27,3.43,1.28,1.86,1.64,1.53,2.5,4.11,2.87,4.67,1.82,3.3,3.77,2.74,2.06,3.44,1.71,1.86,0.57,3.35,5.58,0.83,2.75,3.66,1.93,3.48,3.28,0.44,2.43,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.07,0.78,1.31,2.16,4.87,4.11,5.28,1.27,2.36,0.8,2.73,2.2,4.38,2.27,3.14,2.06,3.63,3.81,3.8,1.55,1.35,4.39,3.64,3.23,1.04,1.69,1.74,1.04,4.01,2.41,2.41,1.37,1.33,1.43,0.99,0.81,2,4.36,0.67,1.61,1.26,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.35,1.21,1.62,1.73,2.33,1.56,2.84,3.17,4.26,3.62,2.81,2.47,1.38,2,2.79,1.9,1.66,2.95,3.74,2.28,2.91,1.63,3.97,1,1.88,3.61,1.23,1.67,1.31,2.17,0.83,3.1,3.16,2.72,3.18,2.29,1.46,1.81,1.45,1.68,2.66,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.6,4.78,1.65,4.04,0.5,0.73,2.01,3.34,4.65,3.98,2.25,4.38,3.34,3.08,2.01,4.85,4.22,1.96,1.74,2.37,1.57,2.02,2.87,1.71,1.43,6.18,5.19,3.44,1.19,3.05,2.14,2.08,1.48,4.12,5.46,1.88,2.01,1.13,2.12,1.49,4.43,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.63,4.61,1.79,3.97,2.25,3.98,7.6,3.45,2.79,4.72,4.4,2.06,2.33,1.49,2.2,1.19,4.6,3.57,2.8,3.11,2.11,8.32,2.22,1.25,1.77,2.19,2.65,1.17,2.7,3.67,0.28,1.69,0.67,2.8,0.69,2.17,4.38,5.39,2.87,2.2,6.43,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.51,2.29,2.65,4.39,3.74,7.44,3.02,0.85,3.98,3.95,1.31,2.5,4.99,3.36,1.94,2.85,2.18,4.27,2.91,4.28,2.02,4.39,1.62,2.29,5.54,1.51,3.19,3.07,0.42,3.03,3.83,4.07,3.3,4.61,3.1,3.55,3.47,2.24,2.58,3.96,3.17,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,5.75,5.8,4.96,2.51,5.05,2.11,5.38,5.12,1.76,6.5,4.13,3.19,4.43,5.15,7.36,4,2.89,3.15,2.19,4.82,2.42,7.79,0.88,4.18,4.19,2.08,3.99,4.18,3.66,3,3.61,3.6,5.98,4.34,1.48,3.59,1.62,4.18,5.95,5.77,3.53,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.97,2.15,1.95,0.35,0.62,4.68,3.62,5.58,3.36,3.31,3.7,4.92,3.41,3.8,1.58,1.08,1.12,5.29,2.33,1.27,1.1,1.75,4.06,1.14,1.09,0.94,1.47,4.44,3.52,3.53,2.05,2.71,3.75,5.47,3.29,2.41,5.16,2.07,0.95,4.96,2.13,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,4.39,3.83,2.72,6.49,5.57,3.01,3.97,4.1,2.17,5.1,5.04,2.02,6.05,1.29,1.9,4.75,4.42,2.87,5.75,2.18,3.26,4.3,3.15,1.71,3.4,6.55,4.66,3.36,2.32,6.41,3.63,1.24,3.07,1.78,3.06,4.4,3.76,6.98,3.93,5.31,2.11,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
