CARRICKFERGUS-COPELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW568462,Long,-5.7808,Lat,54.7523,Elevation,424,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,1.88,2.21,2.64,3.74,1.7,3,2.5,4.31,3.46,2.33,1.63,,,,1.47,2.5,2.35,3.88,3.1,2.39,1.58,2.38,4.73
February,,,,,,,,1.45,0.68,3.15,1.76,0.19,1.19,4.28,4,0.87,2.16,3,,,,0.23,1,3.79,3.99,1.01,2.15,3.1,3.48,3.18
March,,,,,,,,1.51,3.94,2.75,2.72,2.27,0.91,1.35,2.15,5.13,4.05,5.38,,,,2.07,0.78,1.31,2.16,4.87,4.11,5.28,1.27,2.36
April,,,,,,,,1.97,1.19,3.04,1.65,2.5,1.34,1.54,1.73,2.25,1.55,3,,,,2.35,1.21,1.62,1.73,2.33,1.56,2.84,3.17,4.26
May,,,,,,,,1.91,3.46,2.36,2.06,2.62,4.6,1.59,3.97,0.48,0.65,2,,,,2.6,4.78,1.65,4.04,0.5,0.73,2.01,3.34,4.65
June,,,,,,,,0.52,3.75,0.53,2.93,1.7,3.75,1.81,4.15,2.16,3.94,7.45,,,,1.63,4.61,1.79,3.97,2.25,3.98,7.6,3.45,2.79
July,,,,,,,,2.39,7.24,3.05,2.87,2.43,2.34,2.62,4.4,3.6,6.22,2.93,,,,2.51,2.29,2.65,4.39,3.74,7.44,3.02,0.85,3.98
August,,,,,,,,2.06,3.62,6.99,3.18,5.65,5.7,4.9,2.5,5.19,1.95,5.41,,,,5.75,5.8,4.96,2.51,5.05,2.11,5.38,5.12,1.76
September,,,,,,,,4.97,1.53,2.65,2.72,2.89,2.07,2.04,0.29,0.56,4.6,3.56,,,,2.97,2.15,1.95,0.35,0.62,4.68,3.62,5.58,3.36
October,,,,,,,,1.6,1.37,3.14,1.82,4.2,3.87,2.91,6.54,4.9,2.92,3.81,,,,4.39,3.83,2.72,6.49,5.57,3.01,3.97,4.1,2.17
November,,,,,,,,2.95,6.04,2.63,7.96,3.8,3.63,2.13,2.1,4.05,1.37,3.65,,,,3.72,3.92,1.8,2.36,4.02,1.47,3.59,4.04,3.24
December,,,,,,,,2.37,3.22,2.47,2.63,4.41,2.4,3.48,3.63,4.68,5.68,5.88,,,,4.11,2.39,3.41,3.55,4.86,5.84,5.5,3.22,5.99
Total,,,,,,,,25.58,38.25,35.4,36.04,34.36,34.8,31.15,39.77,37.33,37.42,47.7,,,,33.8,35.26,30,39.42,37.92,39.47,47.49,40,42.47
