CARRICKFERGUS-COPELAND,,,,,,,,,,
Grid ref,NW568462,Long,-5.7808,Lat,54.7523,Elevation,424,ft,,
Station no,6225,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.43,2.52,,,,,,,
February,,0.16,1,,,,,,,
March,,1.88,0.71,,,,,,,
April,,2.25,1.02,,,,,,,
May,,2.47,4.73,,,,,,,
June,,1.57,4.36,,,,,,,
July,,2.33,1.9,,,,,,,
August,,4.8,5.82,,,,,,,
September,,2.7,1.95,,,,,,,
October,,4,3.84,,,,,,,
November,,3.71,3.78,,,,,,,
December,,4.27,2.26,,,,,,,
Total,,31.57,33.89,,,,,,,
