CARRICKFERGUS COPELAND (newer daily),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW571439,Long,-5.774235,Lat,54.731976,Elevation,427,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,6.6,2.3,4.5,3.75,3.11,2.51,3.33,1.37,4.48,4.82,4.38,4.41,4.61,2.28,6.85,6.45,4.1,4.37,5.01,3.97,7.95,3.54,1.86,4.31,4,1.57,3.73,4.28,3.69,4.37,4.46,3.16,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,3.86,3.19,0.55,3.02,0.21,3.28,0.44,4.69,3.1,6.24,1.73,3.64,3.16,3.62,2.43,2.09,1.31,4.09,3.4,0.91,2.63,2.21,3.98,2.71,1.01,1.21,3.87,4.29,1.22,2.98,4.99,1.11,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,4.62,0.68,1.86,1.39,2.04,2.49,1.9,1.19,2.91,2.03,1.34,3.89,4.74,3.78,3.03,1,0.77,1.49,2.09,5.38,2.07,2.72,2,3.67,1.87,0.44,4.49,2.1,1.83,3.42,2.93,2.59,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.05,1.59,1.8,2.93,3.05,1.97,4.13,2.42,1.09,2.48,0.36,2.82,4.71,1.97,2.14,3.06,2.84,1.86,0.96,3.79,2.26,2.48,4.31,2.05,1.9,2.41,1.19,2.44,1.2,1.55,2.33,3.05,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.17,2.37,1.75,4.71,3.35,3.07,3.27,1.05,1.89,1.11,3.11,0.9,1.75,2.9,3.44,4.38,1.86,4.36,1.31,4.28,2.01,2.07,1.79,2.93,1.41,2.34,4.32,3.33,1.4,2.51,3.11,1.37,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,5.34,3.14,2.42,6.14,1.74,2.4,2.14,4.55,5.37,3.08,4.58,1.93,1.29,0.43,0.83,3.97,2.8,4.53,3.97,3.94,4.97,0.81,2.62,2.03,3.17,1.93,3.52,6.04,2.99,1.91,6.03,2.62,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.28,2.86,4.21,3.59,3.96,3.88,2.63,1.29,6.23,3.04,5.02,4.35,5.15,5.52,3.72,2.52,4.53,5.35,3.24,4.28,2.95,3.2,5.27,3.26,2.31,6.38,4.41,1.53,3.92,4.14,5.73,3.82,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.26,6.46,6.43,3.32,2.73,2.99,6.07,1.49,3.86,3,2.38,2.34,1.06,4.79,6.66,6.4,2.55,1.2,4.67,0.16,5.3,4.75,5.39,4.25,6.49,3.38,3.29,1.14,6.68,3.58,6.33,1.45,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.29,1.18,5.22,2.33,3.82,0.76,5.93,4.21,3.57,2.47,3.48,2.86,2.39,1.88,5.28,3.3,6.01,3.11,6.55,3.27,5.32,3.25,7.09,2.67,1.98,3.12,4.49,4.41,4.28,4.98,4.32,1.62,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,6.78,4.49,6.05,2.43,3.77,3.2,5.23,5.37,2.74,3.39,7.66,3.47,6.12,5.6,4.23,4.03,4.97,3.24,1.37,2.45,4.32,5.56,2.86,0.52,4.08,2.42,7.11,3.92,3.16,3.97,2.32,4,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,6.83,5.2,4.61,7.31,2.65,2.11,1.25,5.14,4.37,1.47,4.29,5.71,6.05,4.11,0.83,3.23,5.17,2.01,5.38,5.67,2.87,4.24,3.13,7.52,1.98,4.1,6.39,2.92,1.54,2.38,2.27,4.07,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,3.96,8.11,3.45,3.21,6.02,2.39,8.15,3.66,3.7,4.11,3.89,3.05,4.72,1.57,5.14,2.64,4.8,4.77,3.64,2.38,4.76,4.8,2.73,5.59,4.47,3.75,5.95,5.99,4.55,4.91,5.96,6.54,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,50.04,41.57,42.85,44.13,36.45,31.05,44.47,36.43,43.31,37.24,42.22,39.37,45.75,38.45,44.58,43.07,41.71,40.38,41.59,40.48,47.41,39.63,43.03,41.51,34.67,33.05,52.76,42.39,36.46,40.7,50.78,35.4,51.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Total adj for arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
