CARSPHAIRN (MOORBROCK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX629966,Long,-4.158031,Lat,55.244479,Elevation,1000,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5020/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.55,6.36,12.06,8.31,5.51,3.86,1.66,9.8,9.99,8.93,5.31,8.86,7.85,11.9,8.55,4.04,6.65,,,,,,,,,
February,,,,,11.51,3.02,7.14,5.94,6.98,3.59,4.95,3.53,5.2,2.43,8.6,6.03,1.06,5.57,6.75,5.48,3.62,,,,,,,,,
March,,,,,3.18,4.2,1.8,5.13,5.95,6.79,4.13,4.84,3.19,1.65,5.2,4.17,4.79,6.06,4.11,5.66,,,,,,,,,,
April,,,,,5.19,2.02,2.8,1.04,3.25,4.08,2.59,4.18,6.25,3.34,3.71,2.27,10.61,3.77,6.67,6.32,,,,,,,,,,
May,,,,,1.38,2.05,2.46,6.61,1.22,1.75,5.71,4.28,5.89,3.43,5.08,1.14,5.37,2.54,2.19,2.68,,,,,,,,,,
June,,,,,7.07,3.29,3.46,7.31,4.3,1.71,2.08,1.23,7.46,4.58,6.35,5.14,6.59,6.74,1.07,4.98,,,,,,,,,,
July,,,,,4.51,7.38,7.18,6.53,6.88,5.93,4.11,5.76,3.57,4.75,5.33,5.7,5.3,3.83,2.62,7.92,,,,,,,,,,
August,,,,,2.95,5.07,2.82,5.64,2.36,3.54,9.67,9.03,8.19,3.1,1.86,4.47,0.1,7.08,4.37,7.53,,,,,,,,,,
September,,,,,8.17,5.22,4.49,5.75,3.25,8.36,4.37,8.52,3.96,6.21,9.43,11.27,7.39,5.31,3.15,,,,,,,,,,,
October,,,,,11.64,7.71,5.58,12.08,3.93,6.93,6.68,8.85,12.58,7.41,6.47,0.87,2.48,7.65,9.07,3.4,,,,,,,,,,
November,,,,,7.25,7.36,1.09,9.11,10.5,8.47,6.18,2.49,6.65,10.68,0.8,10.94,,6.81,8.95,,,,,,,,,,,
December,,,,,6.29,8.46,4.59,5.53,5.34,11.14,5.42,12.58,4.44,8.43,7.57,6.37,,9.34,11.1,3.09,,,,,,,,,,
Total,,,,,73.69,62.14,55.47,78.98,59.47,66.15,57.55,75.09,77.37,64.94,65.71,67.23,,76.6,68.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Nov 9.5, Dec 3.7 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Sept Nov Tot 100s transcribed as -999 therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13272,CARSPHAIRN: MOORBROCK ,01/01/1935,31/12/1951,,,,,,,,,,,,,,,,,,,,,,,,,,,
