LEISTON-UPPER-ABBEY (ST.MARY'S ABBEY),,,,,,,,,,
Grid ref,TM449640,Long,1.5847,Lat,52.22012,Elevation,60,ft,,
Station no,1367/7,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.41,1.35,1.74,1.28,3.43,,
February,,,,1.1,1.74,1.13,1.21,0.86,,
March,,,,0.31,0.61,1.27,4.19,0.6,,
April,,,,1.4,1.22,1.07,1.24,1.23,,
May,,,,0.33,2.1,1.41,0.59,1.33,,
June,,,,1.73,1.82,2.86,1.98,3.61,,
July,,,,1.34,0.83,2.7,2.13,1.24,,
August,,,,0.97,1.94,5.33,0.18,2.77,,
September,,,,2.67,1.24,2.09,0.82,1.18,,
October,,,1.45,3.53,1.07,0.92,0.36,1.25,,
November,,,2.2,3.77,1.3,4.02,1.24,1.58,,
December,,,1.54,1.61,2.2,2.57,2.83,1.4,,
Total,,,,20.17,17.42,27.11,18.05,20.48,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge moved Jan 1949 800m NE,,,,,,,,,,
