INKPEN-MANOR-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU365641,Long,-1.476997,Lat,51.374788,Elevation,500,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,6.87,1.58,5.08,2.12,3.32,2.92,2.24,0.6,5.13,5.9,2.91,6.64,2.45,3.26,,,,,,,,,
February,,,,,,,,,2.04,0.81,0.93,1.95,0.1,5.37,0.11,3.86,3.06,5.36,0.89,1.35,2.84,2.78,,,,,,,,,
March,,,,,,,,,3.86,0.18,1.09,0.45,2.03,3.72,2.76,0.76,3.13,5.45,0.19,1.11,2.35,3.36,,,,,,,,,
April,,,,,,,,,2.43,1.01,2.63,3.04,3.33,1.17,2.07,4.68,2.32,2.46,0.08,2.63,1.48,1.87,,,,,,,,,
May,,,,,,,,,1.13,1.66,1.54,2.94,6.2,1.92,1.07,1.1,0.97,3.36,1.79,1.16,1.03,1.45,,,,,,,,,
June,,,,,,,,,2.16,1.34,0.69,2.63,1.78,2.22,1.15,5.43,2.07,1.33,0.67,1.91,0.39,1.82,,,,,,,,,
July,,,,,,,,,2.03,1.51,2.28,3.89,2.51,2.54,1.67,0.51,5.23,1.91,2.19,6.04,2.54,2.75,,,,,,,,,
August,,,,,,,,,1.28,1,3.45,3.12,1.13,0.47,2.69,2.28,1,1.03,2.12,2.91,0.04,4.62,,,,,,,,,
September,,,,,,,,,1.59,0.74,3.63,2.21,3.94,2.8,2.32,4.97,3.92,2.27,1.15,0.9,1.42,,,,,,,,,,
October,,,,,,,,,4.8,3.72,1.53,0.71,4.86,2.26,1.68,4.21,1.79,5.08,3.82,4.51,4.3,,,,,,,,,,
November,,,,,,,,,3.27,9.13,4.84,4.25,2.26,0.85,2.15,6.85,3.46,1.43,4.33,6.1,7.5,,,,,,,,,,
December,,,,,,,,,2.72,8.21,4.1,1.26,1.55,0.45,8.8,4.37,3.03,2.93,4.72,2.17,1.36,,,,,,,,,,
Total,,,,,,,,,34.18,30.89,31.79,28.57,33.01,26.69,28.71,39.62,35.11,38.51,24.86,37.43,27.7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Manor Farm. Stated altitude may be 20 ft. too high.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
