BALLANTRAE (WINDYKNOWE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX088824,Long,-4.9982763,Lat,55.099055,Elevation,62,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,6.14,6.18,3.94,2.8,4.64,3,5.47,6.7,4.38,4,4.1,0.81,6.85,6.02,4.04,3.98,7.1,,,,
February,,,,,,,,,,,0.42,3.39,0.05,3.53,0.58,4.01,2.23,5.77,2.19,4.05,1.75,4.5,1.55,3.06,1.68,4.18,3.04,,,,
March,,,,,,,,,,,2.21,0.79,2.6,2.69,2.31,1.54,2.39,1.83,0.93,3.92,5.04,2.16,3.17,1.19,0.5,2.04,1.59,,,,
April,,,,,,,,,,,1.71,1.41,3.41,1.38,2.88,2.72,0.88,2.66,0.58,1.96,1.56,1.62,2.5,2.91,1.89,1.31,1.07,,,,
May,,,,,,,,,,,1.84,1.84,2.45,1.7,4.2,0.58,3.91,1.06,2.35,1.16,1.82,2.51,2.72,2.64,2.54,3.08,0.63,,,,
June,,,,,,,,,,,2.54,3.63,1.73,2.54,1.92,2.13,2.87,2.45,4.05,2.1,1.33,0.68,0.93,2.87,3.47,3.39,,,,,
July,,,,,,,,,,,2.48,2.13,4.18,2.88,1.68,1.97,5.46,3.58,4.9,2.71,3.77,2.87,3.61,1.41,2.32,2.35,,,,,
August,,,,,,,,,,,5.61,1.83,1.43,3.59,3.32,1.52,3.62,3.04,2.6,1.75,1.88,3.82,4.52,4.36,3.32,1.34,,,,,
September,,,,,,,,,,,3.89,1.92,5.09,0.83,5.62,4.51,3.39,2.43,3.51,2.12,4.74,2.36,4.6,3.28,4.15,4.42,,,,,
October,,,,,,,,,,,6.99,3.29,7.26,3.38,5.25,6.62,4.2,3.57,6.89,3.02,4.44,4.91,5.31,5.62,5.56,3.01,,,,,
November,,,,,,,,,,,4.57,9.45,4,2.62,1.3,5.96,4.76,1.61,5.44,5.98,5.47,4.41,0.82,3.87,5.82,0.48,,,,,
December,,,,,,,,,,,4.8,4.58,6.32,2.5,8.72,3.72,3.99,3.32,4.58,3.07,5.55,1.56,6.46,3.3,7.02,4.68,,,,,
Total,,,,,,,,,,,43.2,40.44,42.46,30.44,42.42,38.28,43.17,38.02,42.4,35.84,41.45,32.21,43.04,40.53,42.31,34.26,,,,,
