BALLANTRAE,,,,,,,,,,,,
Grid ref,NX086825,Long,-5.001474,Lat,55.099875,,,,,,,
Station no,5267/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.74,5.30,1.89,3.64,2.99,3.24,3.82,6.14,1.62,2.85,,
February,3.94,1.13,1.53,4.42,3.60,1.14,3.14,3.66,1.20,4.91,,
March,3.79,2.09,0.50,4.37,1.77,1.53,3.10,1.14,3.76,1.61,,
April,1.99,1.71,1.93,1.14,2.92,1.26,1.79,1.42,3.10,3.37,,
May,2.45,2.39,2.41,3.15,3.50,2.02,1.78,1.95,1.59,1.94,,
June,1.75,2.33,1.19,4.08,2.92,1.82,1.33,4.25,2.55,2.18,,
July,1.81,2.55,4.86,5.26,1.94,3.17,4.42,3.77,2.57,4.48,,
August,8.60,5.13,2.83,4.53,1.40,5.85,3.30,3.43,0.85,3.85,,
September,3.37,2.89,6.38,5.42,3.59,2.78,4.43,3.50,1.84,3.52,,
October,0.86,4.42,5.05,7.41,2.86,3.08,4.25,2.66,5.82,-999.00,,
November,8.19,2.62,5.83,7.40,2.85,1.56,2.11,2.32,4.11,-999.00,,
December,7.25,3.67,4.00,7.33,4.47,5.50,6.20,6.45,7.48,-999.00,,
Total,45.74,36.23,38.40,58.15,34.81,32.95,39.67,40.69,36.49,-999.00,,
Calc annual,48.74,36.23,38.40,58.15,34.81,32.95,39.67,40.69,36.49,28.71,,
Difference,-3.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-1027.71,,
