TUNBRIDGE-WELLS-FRANT-ROAD,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ582370,Long,0.25858705,Lat,51.110465,Elevation,430,ft,,,,,,,,,,,,,,
Station no,RR7851,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,,4.63,3.73,4.2,1.78,2.8,4,,3.01,4.89,1.46,
February,,,,,,,,,,,,0.72,0.8,3.19,5.16,1.15,5.34,,5.38,2.06,0.63,
March,,,,,,,,,,,,1.88,2.25,2.77,2.11,2.34,1.09,,4.74,2.57,0.08,
April,,,,,,,,,,,,3.06,1.53,3.51,2.9,3.62,2.77,,1.72,2.98,,
May,,,,,,,,,,,,1.59,1.85,1.34,4.2,4.59,3.15,,1,1.31,,
June,,,,,,,,,,,,1.45,0.04,1.52,0.53,2.87,0.18,,4.75,3.29,,
July,,,,,,,,,,,,4.23,0.72,4.05,2.26,4.26,4.45,,2.78,1.87,,
August,,,,,,,,,,,,1.63,1.76,3.17,1.71,2.81,2.08,,5.14,2.83,,
September,,,,,,,,,,,,2.9,0.95,2.34,2.22,3.75,2.44,,4.89,0.64,,
October,,,,,,,,,,,0.74,2.04,1.4,1.93,8,4.38,4.79,,2.8,8.05,,
November,,,,,,,,,,,2.97,2.15,1.69,2.17,2.89,4.1,3.63,,3.46,5.5,,
December,,,,,,,,,,,4.73,3.63,2.7,4.92,4.09,6.21,4.32,,5.56,4.1,,
Total,,,,,,,,,,,,29.91,19.42,35.11,37.85,42.88,38.24,,45.23,40.09,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_03_pt1 page 131 added (originally filed under KENT),,,,,,,,,,,,,,,,,,,,,,
