ST ANDREWS SOUTH STREET QUEENS GARDENS (09),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO509166,Long,-2.795817,Lat,56.339202,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.87,1.16,5.6,2.33,0.39,2.87,1.09,1.84,2.26,2.4,1.37,3.18,4.33,1.52,2.02,1.76,2.13,2.27,3.2,2.16,3.29,3.5,1.76,2.27,2.16,,,,,
February,,1.36,0.95,4,4.83,1.01,1.04,1.35,0.85,0.89,2.59,1.53,2.31,0.75,2.57,5.21,2.6,0.84,1.87,2.07,1.55,0.29,2.46,4.6,0.74,3.6,,,,,
March,,1.58,1.4,3.53,1.66,2.9,1.16,1.75,3.69,3.79,1.58,0.98,2.12,3.5,3.43,1.76,2.89,1.33,0.99,2.07,1.81,2.3,2.32,1.56,0.8,1.42,,,,,
April,,2.84,1.58,0.85,2.03,1.69,1.19,1.86,1.29,3.91,3.08,0.86,0.08,2.24,0.78,0.67,2.06,1.61,0.64,1.84,1.58,0.95,1.5,2.21,1.52,3.58,,,,,
May,,1.88,2.05,1.25,2.22,1.5,6.38,4.87,1.65,2.97,1.34,1.18,1.55,3.43,2.09,0.81,2.97,1.41,3.21,0.77,3.06,2.11,0.77,1.06,3.2,3.73,,,,,
June,,2,1.68,1.78,0.89,0.93,1.24,3.11,0.98,0.97,1.6,1.07,3.47,1.83,0.66,1.52,3.48,0.88,0.49,1.43,0.54,0.51,1.43,0.72,1.42,0.6,,,,,
July,,0.76,3.42,5.87,1.46,1.55,1.21,2.21,2.22,4.55,2.71,1.12,2.13,0.66,2.17,3.09,5.97,1.62,3.24,0.82,2.06,1.96,4.17,1.25,5.23,1.04,,,,,
August,,4.28,1.75,4.02,4.89,3.01,5.03,3.65,2.94,3.18,5.68,1.02,4.79,1.65,1.79,3.77,3.44,3.98,1.7,1.81,3.34,2.92,1.75,3.96,1.97,1.82,,,,,
September,,1.71,1.41,2.37,2.63,1.46,1.02,1.09,4.31,1.8,0.91,0.87,2.22,1.97,0.36,1.84,1.36,0.93,3.65,1.3,1.91,1,2.27,2.21,4.8,3.09,,,,,
October,3.42,2.03,1.54,5.68,0.55,1.63,4.54,6.11,3.13,3.96,2.21,2.2,3.59,1.77,2.58,3.6,3.83,2.24,2.42,1.57,1.79,2.92,1.93,2.31,4.4,2.29,,,,,
November,5.24,1.94,2.46,1.13,0.69,4.84,2.95,2.61,2.1,0.54,3.16,4.13,1.65,1.92,3.15,1.72,4.27,2.78,1.55,5.22,2.24,2.49,1.15,2.42,1.54,,,,,,
December,3.89,3.05,3.61,2.7,1.81,1.34,1.77,3.55,1.5,3.68,2.43,4.99,2.45,1.48,5.15,6.42,3.38,1.15,2,5.07,3.94,1.39,2.11,2.46,3.81,,,,,,
Total,,25.3,23.01,38.78,25.99,22.25,30.4,33.25,26.5,32.5,29.69,21.32,29.54,25.53,26.25,32.43,38.01,20.9,24.03,27.17,25.98,22.13,25.36,26.52,31.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small G Move 1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 ND Estd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
