"ST ANDREWS SOUTH STREET QUEENS GARDENS (09)",,,,,,,,,,,,
Grid ref,NO509166,Long,-2.795817,Lat,56.339202,,,,,,,
Station no,RR4208,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.87,1.16,5.60,2.33,0.39,2.87,1.09,1.84,2.26,,
February,,1.36,0.95,4.00,4.83,1.01,1.04,1.35,0.85,0.89,,
March,,1.58,1.40,3.53,1.66,2.90,1.16,1.75,3.69,3.79,,
April,,2.84,1.58,0.85,2.03,1.69,1.19,1.86,1.29,3.91,,
May,,1.88,2.05,1.25,2.22,1.50,6.38,4.87,1.65,2.97,,
June,,2.00,1.68,1.78,0.89,0.93,1.24,3.11,0.98,0.97,,
July,,0.76,3.42,5.87,1.46,1.55,1.21,2.21,2.22,4.55,,
August,,4.28,1.75,4.02,4.89,3.01,5.03,3.65,2.94,3.18,,
September,,1.71,1.41,2.37,2.63,1.46,1.02,1.09,4.31,1.80,,
October,3.42,2.03,1.54,5.68,0.55,1.63,4.54,6.11,3.13,3.96,,
November,5.24,1.94,2.46,1.13,0.69,4.84,2.95,2.61,2.10,0.54,,
December,3.89,3.05,3.61,2.70,1.81,1.34,1.77,3.55,1.50,3.68,,
Total,,25.30,23.01,38.78,25.99,22.25,30.40,33.25,26.50,32.50,,
Calc annual,12.55,25.30,23.01,38.78,25.99,22.25,30.40,33.25,26.50,32.50,,
Difference,NaN,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
