FAIRWATER-GLAN-ELY-HOSPITAL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST1302877448,Long,-3.2540519,Lat,51.489266,Elevation,122,ft,,,,,,,,,,,,,
Station no,4057/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.07,2.64,5.84,,6.43,5.03,9.13,1.25,,3.61,13.75,1.99,,0.84,4.89,3.62,,6.84,3.57
February,,,3.94,8.97,0.66,,3.46,3.62,4.77,1.04,,3.44,0,3.53,,3.69,1.86,6.01,,2.66,
March,,,3.39,1.98,2.08,,0.65,4.38,4.55,0.52,,1.51,2.11,3.81,,2.1,3.64,6.08,,1.58,
April,,,5.15,3.37,3.44,,2.25,2.04,1.53,0.49,,3.67,3.96,1.87,,4.51,3.67,4.38,,3.66,
May,,,1.55,2.64,4.37,,2.42,1.83,0.54,2.81,1.58,7.74,4.62,2.09,,1.04,1.88,2.51,2.65,1,1.93
June,,,1.23,0.83,2.82,,1.82,5.54,2.19,2.04,0.72,3.58,1.69,1.39,1.43,4.69,3.97,0.87,2.55,2.11,0.52
July,,,4.63,3.19,8.07,,2.34,3.52,1.69,1.89,3.03,4.61,4.35,2.38,1.16,0.48,9.64,2.89,2.58,7.07,
August,,,4.09,3.47,5.37,,3.91,6.09,4.31,3.87,6.43,4.61,0.81,1.71,4.91,2.4,2.96,0.45,3.52,3.66,0.75
September,,,3.92,3.58,7.63,,1.97,7.58,0.97,1.08,4.96,1.65,6.07,1.83,,7.21,1.7,1.76,1.73,1,1.82
October,,,1.73,6.91,6.88,,4.25,3.75,7.78,,5.38,1.13,7.01,4.05,,6.06,2.01,4.36,8.65,4.29,6.69
November,,,2.19,3.12,4.23,,8.97,5.65,4.78,11.83,5.67,6.24,2.56,0.62,1.72,6.38,3.34,1.61,6.07,9.34,9.41
December,,,8,4.11,6.56,,0.17,2.43,5.16,8.42,4.98,2.61,2.49,2.16,,3.88,3.43,2.69,4.32,2.63,2.61
Total,,,43.89,44.81,57.95,,38.64,51.46,47.4,,,44.4,49.42,27.43,,43.28,42.99,37.23,,45.84,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 Oct estimated,,,,,,,,,,,,,,,,,,,,,
"1934 Jan-May,Sep Oct Dec estimated",,,,,,,,,,,,,,,,,,,,,
"1940 Feb-Apr, Jul estimated",,,,,,,,,,,,,,,,,,,,,
1930 incomplete year total removed,,,,,,,,,,,,,,,,,,,,,
