WINDLESHAM-WOODSIDE,,,,,,,,,,
Grid ref,SU932643,Long,-0.66247,Lat,51.37058,Elevation,230,ft,,
Station no,237/7,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,3.16,2.37,0.64,2.11,0.97,
February,,,,,1.82,0.12,0.34,2.73,1.65,
March,,,,,1.41,1.45,3.76,3.58,1.22,
April,,,,,1.63,1.36,0.53,1.31,1.23,
May,,,,,1.94,0.58,0.22,1.32,2.55,
June,,,,,2.3,0.28,2.15,2.66,1.2,
July,,,,,4.11,4.97,1.49,1.15,0.41,
August,,,,,3.03,1.74,2.44,2.16,1.35,
September,,,,,1.97,1.74,5.89,1.81,0.7,
October,,,,,4.48,3.25,2.41,0.84,3.52,
November,,,,,3.9,3.6,1.48,1.28,3.07,
December,,,,,2.15,2.44,3.42,2.88,2.76,
Total,,,,,31.9,23.9,24.77,23.83,20.63,
,,,,,,,,,,
Assumed to be same property as later gauge ,,,,,,,,,,
Given elevation of 200ft a little low but 250ft on next sheets a little high as ground fairly flat,,,,,,,,,,
