WINDLESHAM-WOODSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU932643,Long,-0.66247,Lat,51.37058,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,237/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.56,4.32,2.88,2.55,3.35,4.95,1.84,1.63,1.71,2.23,3.91,1.31,0.67,3.83,2.08,0.82,,,,,,,
February,,,,,,,,0.42,1.06,1.72,2.35,0.77,1.33,0.64,1.64,2.32,1.12,1.38,1.1,4.32,6.01,1.01,1.46,,,,,,,
March,,,,,,,,0.27,1.08,3.02,3.36,1.57,0.61,0.18,0.57,1.14,5.08,0.75,1.23,0.81,3.72,3.3,0.38,,,,,,,
April,,,,,,,,0.11,2.76,2.34,1.43,1.2,0.94,1.17,1.11,1.73,1.76,1.48,1.68,2.86,3.01,1.42,2.45,,,,,,,
May,,,,,,,,1.56,1.44,1.26,1.89,2.77,2.23,0.42,1.75,2.83,1.39,2.22,1.96,1.57,2.67,1.8,1.96,,,,,,,
June,,,,,,,,0.83,1.29,0.84,1.63,0.37,1.37,1.74,2.31,3.4,1.97,2.21,0.23,1.33,1.07,1.36,1.39,,,,,,,
July,,,,,,,,1.12,3.39,2.72,4.37,1.52,1.59,1.84,3.91,2.09,1.43,0.97,1.26,4.12,1.86,0.36,3.22,,,,,,,
August,,,,,,,,1.92,1.93,0.17,4.78,2.04,1.79,1.61,1.09,4.48,0.34,2.72,1.32,3.49,4.1,3.34,2.02,,,,,,,
September,,,,,,,,1.1,1.21,1.42,0.18,0.89,1.83,2.62,2.09,3.17,1.06,1.17,1.09,3.12,2.5,3.8,1.8,,,,,,,
October,,,,,,,,2.32,5.29,3.19,1.2,2.95,2.79,3.56,2.95,0.86,0.28,2.18,5.76,0.38,0.6,3.29,2.95,,,,,,,
November,,,,,,,,2.86,5.07,6.88,2.99,1.39,1.26,3.79,0.27,4.69,1.04,1.84,2.49,5.2,6.72,3.1,1.41,,,,,,,
December,,,,,,,,2.95,1,1.44,1.51,3.2,1.4,1.78,3.51,2.31,2.61,3.47,1.67,1.32,1.85,2.71,0.35,,,,,,,
Total,,,,,,,,18.02,29.84,27.88,28.24,22.02,22.09,21.19,22.83,30.73,20.31,24.3,21.1,29.19,37.94,27.57,20.21,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumed to be same location as previous gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conflicting distances to church and station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
