"EDINBURGH CITY OBSERVATORY",,,,,,,,,,,,
Grid ref,NT261741,Long,-3.185080,Lat,55.954219,,,,,,,
Station no,5143,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.42,1.24,0.88,3.53,2.18,0.53,2.51,0.64,2.32,1.92,,
February,2.64,0.97,0.67,3.63,2.09,0.94,0.61,0.72,0.80,1.04,,
March,0.95,1.42,0.81,3.20,1.20,2.42,1.44,1.46,2.67,3.85,,
April,1.35,0.98,1.32,0.91,1.47,1.37,0.73,0.92,1.63,2.30,,
May,1.03,2.04,2.41,1.15,3.01,0.76,4.92,2.65,2.00,1.77,,
June,1.88,1.53,2.20,1.37,1.84,1.13,1.37,2.60,0.86,1.52,,
July,2.97,0.20,1.73,3.87,1.16,1.73,1.77,2.84,3.58,3.40,,
August,5.11,3.81,2.09,3.26,4.29,2.48,4.79,3.01,1.54,1.81,,
September,1.79,0.88,1.15,1.88,1.55,1.38,0.65,1.50,2.41,2.44,,
October,3.88,1.49,1.03,5.31,0.62,2.00,5.50,6.60,1.27,4.23,,
November,5.09,2.63,0.69,1.35,0.75,3.35,3.32,0.86,1.38,0.68,,
December,3.52,2.41,1.53,1.12,2.03,1.12,1.20,3.42,0.34,2.66,,
Total,32.63,19.60,16.51,30.58,22.19,19.21,28.81,27.22,20.80,27.62,,
Calc annual,32.63,19.60,16.51,30.58,22.19,19.21,28.81,27.22,20.80,27.62,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
