"OAKLEY RECTORY BASINGSTOKE",,,,,,,,,,,,
Grid ref,SU569503,Long,-1.186136,Lat,51.249041,,,,,,,
Station no,RR4779,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.68,1.71,0.94,2.93,4.45,0.93,5.63,1.08,1.94,0.98,,
February,5.63,1.81,1.41,2.07,4.03,0.73,2.75,1.88,1.20,0.55,,
March,1.32,2.07,2.18,4.84,1.65,5.46,2.01,1.05,3.53,4.80,,
April,1.51,2.41,1.38,2.78,1.60,1.63,1.00,4.19,4.30,2.09,,
May,1.63,1.08,2.60,3.76,4.08,1.17,1.45,1.52,2.03,1.69,,
June,3.54,1.57,4.13,5.00,0.85,3.71,2.79,2.32,0.84,5.46,,
July,1.14,2.75,1.15,3.13,2.35,0.45,0.84,1.45,2.60,3.03,,
August,2.87,1.79,3.76,4.28,2.72,3.21,1.30,2.45,3.46,2.35,,
September,0.95,1.54,1.64,2.05,1.48,2.33,1.49,0.66,2.01,3.01,,
October,2.53,2.49,1.98,8.96,2.43,2.26,7.07,6.54,1.75,6.47,,
November,2.72,0.58,2.87,1.95,1.62,3.72,4.35,2.93,1.03,0.88,,
December,3.98,4.98,2.02,3.38,3.29,1.01,2.06,4.76,3.00,4.66,,
Total,30.50,24.78,26.06,45.13,30.55,26.61,32.74,30.83,27.69,35.97,,
Calc annual,30.50,24.78,26.06,45.13,30.55,26.61,32.74,30.83,27.69,35.97,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
