"HUNTLY UNION BANK",,,,,,,,,,,,
Grid ref,NJ529399,Long,-2.786406,Lat,57.446955,,,,,,,
Station no,5661/1,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.21,1.40,1.18,2.07,1.91,2.56,,
February,,,,,3.26,2.15,3.19,2.01,2.29,1.56,,
March,,,,,1.38,3.57,3.39,1.35,4.05,5.86,,
April,,,,,2.05,3.09,2.12,1.88,3.64,3.45,,
May,,,,,2.10,1.77,5.21,2.96,1.86,3.30,,
June,,,,,0.90,0.71,1.28,4.75,1.36,1.41,,
July,,,,,1.63,2.24,1.60,2.78,4.02,3.90,,
August,,,,,4.66,3.60,3.30,2.74,2.24,2.37,,
September,,,,,2.20,2.27,1.36,1.37,5.41,2.83,,
October,,,,,2.61,6.74,4.19,5.70,0.79,4.42,,
November,,,,,1.95,6.35,5.74,1.85,2.05,3.55,,
December,,,,,3.72,0.68,5.03,2.53,3.24,2.68,,
Total,,,,,27.67,34.57,37.59,31.99,32.86,37.89,,
Calc annual,0.00,0.00,0.00,0.00,27.67,34.57,37.59,31.99,32.86,37.89,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,,
