DALRY (KNOCKENDON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS240524,Long,-4.804564,Lat,55.732928,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5249/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.8,5.6,8.2,6.2,3.4,1.7,8.3,7,5.65,4.2,6.35,8.32,8.1,7.2,5.15,5.7,8.4,3.65,6.85,3.85,4.35,6.25,6.55,2.95,5.85
February,,,,,,3.1,6.3,3.1,7.1,2.15,4.3,2.6,5.7,2.2,7.1,3.7,1,5.2,5.75,5.1,3.7,2.98,2.95,6.7,3.55,2.55,4.35,4.85,2.55,4.95
March,,,,,,4.2,2.5,4.3,4.85,5.75,3.5,4.65,2.05,1.3,4.15,2.55,5.5,4.95,4.35,4.35,4.85,4.8,1.25,4.25,1.9,3.45,6.85,2.15,4.1,2.15
April,,,,,,2.2,3.4,0.7,3.45,3.7,2.45,3.1,4.55,4.05,2.75,2.6,5.25,2.65,7.1,4.05,2.85,2.8,3.1,2.95,5.9,2.15,3.25,2.35,4.15,6.2
May,,,,,,3.2,2.3,5.1,1.45,1.75,4.5,3.95,4.35,4.15,5.15,1,5.4,3.5,2.55,1.8,2.8,2.5,3.3,3.7,4.9,3.85,3.1,4.8,1.8,3.15
June,,,,,,2.6,4.8,7,3.35,1.25,2,3.1,5.25,4,4.9,3.1,4.95,6.75,1.75,3.85,2.4,4,1.6,5.8,5.7,4.15,3.3,3.55,4.1,4.15
July,,,,,,8.1,6.9,7.4,8.25,4.2,4.8,5.95,3.65,5.55,4.1,4.9,3.6,5.4,2.65,6.45,4.8,4.65,5.3,5.3,1.15,7.95,7.15,6.15,6.2,7
August,,,,,,5.6,3.9,4.5,2.65,3.35,6.7,8.75,9.2,3.3,3,3.3,0,8.6,6.85,7.2,5.15,5.5,5,8.45,1.9,7.15,5.5,6.5,1.4,5.25
September,,,,,,5.7,3.5,6.1,4.75,6.3,3.5,8.3,4.45,7.45,5.75,8.95,5.75,8.7,3.9,11.85,5.45,4.95,6.7,8.1,6.35,6.55,3.96,5.35,2.4,4.6
October,,,,,,6.4,3.6,12,3.45,6.35,6.3,7.45,10.65,7.35,9.1,0.55,3.6,9.1,8,5.45,2,6.95,5.55,11.95,3.75,3.2,7.35,5.15,7.85,3.8
November,,,,,,5.1,1.1,10,10,8.4,4.65,0.95,3.95,6.45,0.7,9.45,7.9,4.65,7.9,4.7,8.15,3.7,9,9.1,3.75,2.8,3.4,3.35,5.75,7.2
December,,,,,,6.1,3.8,4.9,4.32,8.5,3.3,7,3.25,5.7,5.5,4.55,3.2,8.8,8.95,2.65,8.85,6.35,5.65,6.4,9.1,7.1,5.85,7.2,9.45,7.35
Total,,,,,,57.1,47.7,73.3,59.82,55.1,47.7,64.1,64.05,57.15,56.4,51,54.47,76.4,66.95,62.6,56.7,57.58,53.05,79.55,51.8,55.25,60.31,57.95,52.7,61.65
