NEW GALLOWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX634775,Long,-4.1405,Lat,55.0732,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,11.63,5.02,7.63,8.17,4.76,4.84,10.86,8.33,4.76,11.11,3.44,11.51,5.41,1.9,2.21,0.8,,,,,,,,
February,,,,,,,5.65,3.98,8.63,6.36,4.2,6,6.01,1.49,2.82,2.18,6.24,3.99,2.77,2.68,5.45,5.17,,,,,,,,
March,,,,,,0.67,4.16,2.74,7.96,1.44,2.1,4.36,4.89,4.09,2.12,2.18,4.75,2.65,2.15,2.64,2.37,5.94,,,,,,,,
April,,,,,,0.42,1.88,5.97,3.57,2.27,1.83,4.9,1.05,0.28,3.76,0.92,2.36,2.41,2.96,2.07,3.53,1.41,,,,,,,,
May,,,,,,4.68,1.64,2.56,3.36,1.06,4.16,0.85,3.35,2.92,0.79,2.73,0.65,4.21,4,1.95,1.6,3.24,,,,,,,,
June,,,,,,0.79,3.02,2.11,0.79,0.9,1.21,2.59,6.44,1.95,1.03,3.05,4.9,3.98,2.39,3.92,1.8,4.86,,,,,,,,
July,,,,,,3.67,2.37,3.22,0.62,2.37,1.26,4.16,2.98,7.2,2.21,2.54,2.17,3.39,0.18,4.92,3.04,4.22,,,,,,,,
August,,,,,,4.43,5.35,4.51,4.31,1.25,1.33,3.7,5.76,5.45,6.03,2.64,4.04,6.03,2.29,5.15,0.51,4.16,,,,,,,,
September,,,,,,1.21,7.43,4.6,2.9,7.14,4.13,2.21,6.27,4,4.73,7.46,3.01,2.22,4.75,6.47,3.24,2.67,,,,,,,,
October,,,,,,4.79,2.69,6.18,6.5,1.71,7.52,4.28,4.05,6.79,10.31,4.28,8.36,7.92,4.72,1.97,1.44,3.38,,,,,,,,
November,,,,,,3.47,5.23,1.29,3.67,7.05,2.96,4.35,7.14,3.03,4.73,6.28,2.75,10.38,1.65,1.13,5.24,9.43,,,,,,,,
December,,,,,,7.66,6.88,3.53,13.93,8.54,1.82,5.65,11.6,2.8,2.3,5.34,7.71,6.86,2.58,4.25,3.23,6.1,,,,,,,,
Total,,,,,,,57.93,45.71,63.87,48.26,37.28,47.89,70.4,48.33,45.59,50.71,50.38,65.55,35.85,39.05,33.66,51.38,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR taken at Town Hall. Observer McKay - VERY common name around here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
